iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
DZA,Argélia,Q3561,Q141026,1,3415811,2011,36.776388888889,3.0586111111111
DZA,Argélia,Q131818,Q12211195,0,852000,2010,35.696944444444,-0.63305555555556
DZA,Argélia,Q187346,Q3019686,0,465138,2012,36.365,6.6147222222222
DZA,Argélia,Q45942,Q3710629,0,464740,2008,36.9,7.7666666666667
DZA,Argélia,Q338844,Q970519,0,290645,2013,35.55,6.1666666666667
DZA,Argélia,Q244004,Q3019888,0,288461,2008,36.19,5.41
DZA,Argélia,Q2794758,Q12211095,0,265833,2008,34.666666666667,3.25
DZA,Argélia,Q852276,Q2264451,0,212935,2008,35.2,-0.63333333333333
DZA,Argélia,Q312759,Q943844,0,204661,2008,34.85,5.7333333333333
DZA,Argélia,Q984575,Q3019933,0,194461,2008,35.4,8.1166666666667
DZA,Argélia,Q216990,Q3019637,0,191000,1983,36.472222222222,2.8333333333333
DZA,Argélia,Q565568,Q3019917,0,178915,2008,35.366666666667,1.3166666666667
DZA,Argélia,Q59975,Q2005720,0,176139,2008,36.751111111111,5.0641666666667
DZA,Argélia,Q185134,Q3019927,0,173531,2008,34.882777777778,-1.3166666666667
DZA,Argélia,Q544733,Q3019644,0,168346,2008,36.066666666667,4.7666666666667
DZA,Argélia,Q638704,Q2019699,0,165627,2008,31.616388888889,-2.2183333333333
DZA,Argélia,Q2292517,Q7535162,0,163318,2008,36.866666666667,6.9
DZA,Argélia,Q277201,Q3019924,0,156775,2018,36.716944444444,4.0497222222222
DZA,Argélia,Q402992,Q3019890,0,155259,2008,36.286388888889,7.9511111111111
DZA,Argélia,Q849561,Q2017661,0,155134,2008,36.164722222222,1.3316666666667
