iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
EGY,Egito,Q3306486,Q30805,0,21381869,2021,30.05,31.3667
EGY,Egito,Q85,Q30805,1,9717324,2018,30.044444444444,31.235833333333
EGY,Egito,Q81788,Q30832,0,5598402,2020,29.987,31.2118
EGY,Egito,Q87,Q29943,0,5039975,2017,31.1975,29.8925
EGY,Egito,Q12191144,Q30805,0,1500000,2023,30.03,31.47
EGY,Egito,Q269960,Q31075,0,1025569,2006,30.128611111111,31.242222222222
EGY,Egito,Q393498,Q30675,0,927386,1986,27.730555555556,30.8425
EGY,Egito,Q3348063,Q30832,0,625271,2006,30.085833333333,31.209444444444
EGY,Egito,Q223587,Q31068,0,621953,2021,31.05,31.383333333333
EGY,Egito,Q771345,Q30805,0,619293,2023,29.8493,31.3327
EGY,Egito,Q271771,Q30786,0,603120,2024,30.783333333333,31.0
EGY,Egito,Q312723,Q30835,0,592573,2021,30.966666666667,31.166666666667
EGY,Egito,Q134509,Q31079,0,570603,2006,31.2625,32.306111111111
EGY,Egito,Q5668715,Q30805,0,567516,2024,29.987272,31.23712
EGY,Egito,Q203299,Q30656,0,519047,2021,29.3,30.833333333333
EGY,Egito,Q134514,Q31070,0,516959,2010,29.966666666667,32.533333333333
EGY,Egito,Q337539,Q31074,0,500000,2018,30.302222222222,31.745555555556
EGY,Egito,Q217156,Q31067,0,429465,2021,30.583333333333,32.266666666667
EGY,Egito,Q4119318,Q12191144,0,423000,2023,30.0047,31.4342
EGY,Egito,Q29962,Q29965,0,389307,2006,27.186944444444,31.171388888889
