iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
ESH,Saara Ocidental,Q345204,Q2410368,0,165463,2024.0,23.716666666667,-15.95
ESH,Saara Ocidental,Q599897,Q895028,0,57360,2024.0,26.12681,-14.32129
ESH,Saara Ocidental,Q842810,Q1366420,0,57035,2014.0,26.739444444444,-11.670277777778
ESH,Saara Ocidental,Q3544425,Q6250,0,28848,2024.0,27.097944444444,-13.414472222222
ESH,Saara Ocidental,Q1300325,Q180994,0,19139,2024.0,27.416,-9.051
ESH,Saara Ocidental,Q259477,Q2410368,0,12182,2024.0,23.611111,-15.858333
ESH,Saara Ocidental,Q2637709,Q972665,0,9183,2024.0,21.615672,-16.468656
ESH,Saara Ocidental,Q1584114,Q1366420,0,8769,2004.0,27.1109,-10.9711
ESH,Saara Ocidental,Q1380087,Q895028,0,6881,2024.0,25.15,-12.366666666667
ESH,Saara Ocidental,Q3991171,Q972665,0,6735,2024.0,21.61,-15.0
ESH,Saara Ocidental,Q2026640,Q972665,0,5832,2004.0,22.70937,-14.55998
ESH,Saara Ocidental,Q3850353,Q2410368,0,3714,2024.0,24.1015,-13.2758
ESH,Saara Ocidental,Q894941,Q631610,0,2519,2004.0,26.322777777778,-12.849722222222
ESH,Saara Ocidental,Q1656837,Q1366420,0,2195,1994.0,27.2486,-10.4132
ESH,Saara Ocidental,Q25454472,Q631610,0,1844,2024.0,27.1769,-13.3928
ESH,Saara Ocidental,Q23939038,Q631610,0,1380,2014.0,27.1775,-13.398055555556
ESH,Saara Ocidental,Q2260996,Q40362,0,222,2004.0,22.183333333333,-13.133055555556
ESH,Saara Ocidental,Q3118919,Q1356850,0,28,,21.426111111111,-16.958611111111
ESH,Saara Ocidental,Q28881018,Q1300325,0,11,2004.0,,
