iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
FRA,França,Q90,Q13917,1,2243739,2014,48.856666666667,2.3522222222222
FRA,França,Q23482,Q3240,0,908600,1975,43.296666666667,5.3763888888889
FRA,França,Q456,Q16665897,0,522969,2019,45.758888888889,4.8413888888889
FRA,França,Q7880,Q12538,0,511684,2022,43.604444444444,1.4433333333333
FRA,França,Q33959,Q3139,0,353701,2022,43.701944444444,7.2683333333333
FRA,França,Q12191,Q3068,0,325070,2022,47.217222222222,-1.5538888888889
FRA,França,Q6441,Q12545,0,307101,2022,43.610919444444,3.8772305555556
FRA,França,Q6602,Q12717,0,291709,2022,48.573333333333,7.7522222222222
FRA,França,Q1479,Q12526,0,266662,1968,44.837777777778,-0.57944444444444
FRA,França,Q648,Q12661,0,238695,2022,50.631944444444,3.0575
FRA,França,Q647,Q12549,0,227830,2022,48.114166666667,-1.6808333333333
FRA,França,Q42716,Q702441,0,199000,1999,45.433888888889,4.3897222222222
FRA,França,Q41876,Q12594,0,187206,1999,49.265277777778,4.0286111111111
FRA,França,Q44160,Q537277,0,180834,2022,43.125,5.9305555555556
FRA,França,Q42810,Q12758,0,172807,2014,49.494166666667,0.10805555555556
FRA,França,Q12193,Q3389,0,166826,1975,48.39,-4.4869444444444
FRA,França,Q1289,Q12559,0,166037,1975,45.186944444444,5.7263888888889
FRA,França,Q582,Q2874,0,162207,2022,45.766111111111,4.8794444444444
FRA,França,Q7003,Q3342,0,159941,2022,47.323055555556,5.0419444444444
FRA,França,Q38380,Q12584,0,157555,2022,47.472777777778,-0.55555555555556
