iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
FRO,Ilhas Faroé,Q1031794,Q994274,0,1072,2005.0,62.18611145,-6.75555611
FRO,Ilhas Faroé,Q1035832,Q944273,0,19,2021.0,61.9575,-6.88694
FRO,Ilhas Faroé,Q1057879,Q977685,0,43,2015.0,62.265,-6.68139
FRO,Ilhas Faroé,Q1079286,Q3364807,0,0,2015.0,62.32416667,-6.6525
FRO,Ilhas Faroé,Q1079297,Q6479325,0,345,2020.0,62.082,-6.73
FRO,Ilhas Faroé,Q1079313,Q969578,0,47,2020.0,62.173611111111,-6.7722222222222
FRO,Ilhas Faroé,Q1079322,Q4016697,0,1962,2014.0,62.051111,-7.193889
FRO,Ilhas Faroé,Q1093197,Q768990,0,173,2020.0,62.2,-6.9833333333333
FRO,Ilhas Faroé,Q1093197,Q768990,0,173,2020.0,62.2,-6.9833333333333
FRO,Ilhas Faroé,Q1093565,Q548364,0,47,2020.0,62.15,-7.1544444444444
FRO,Ilhas Faroé,Q1093565,Q548364,0,47,2020.0,62.15,-7.1544444444444
FRO,Ilhas Faroé,Q1093572,Q1094328,0,14,2021.0,62.361111111111,-6.7877777777778
FRO,Ilhas Faroé,Q1093572,Q1094328,0,14,2021.0,62.361111111111,-6.7877777777778
FRO,Ilhas Faroé,Q1094316,Q3978413,0,1711,2015.0,61.5558,-6.80333
FRO,Ilhas Faroé,Q1094328,Q977685,0,5257,2019.0,62.2239,-6.57861
FRO,Ilhas Faroé,Q1187370,Q994274,0,956,2015.0,62.106667,-6.761944
FRO,Ilhas Faroé,Q1194908,Q906342,0,0,2021.0,62.35,-6.5797222222222
FRO,Ilhas Faroé,Q1416487,Q1094328,0,31,2021.0,62.279722222222,-6.3486111111111
FRO,Ilhas Faroé,Q3364807,Q977685,0,155,2019.0,62.316666666667,-6.6666666666667
FRO,Ilhas Faroé,Q6479325,Q994274,0,1226,2015.0,62.081,-6.717
FRO,Ilhas Faroé,Q6479325,Q994274,0,1226,2015.0,62.081,-6.717
FRO,Ilhas Faroé,Q222955,Q969578,0,14,2020.0,62.282222222222,-6.9094444444444
FRO,Ilhas Faroé,Q226056,Q648131,0,14,2021.0,62.112222222222,-7.4347222222222
FRO,Ilhas Faroé,Q247637,Q1094316,0,527,2021.0,61.563888888889,-6.8444444444444
FRO,Ilhas Faroé,Q252128,Q1094328,0,55,2021.0,62.256388888889,-6.5777777777778
FRO,Ilhas Faroé,Q252240,Q1094328,0,73,2021.0,62.255833333333,-6.5341666666667
FRO,Ilhas Faroé,Q255015,Q1094328,0,110,2021.0,62.21666667,-6.53333333
FRO,Ilhas Faroé,Q266643,Q944273,0,818,2021.0,62.118333333333,-6.9055555555556
FRO,Ilhas Faroé,Q272323,Q969578,0,103,2020.0,62.069722222222,-6.69
FRO,Ilhas Faroé,Q282870,Q3978413,0,297,2015.0,61.4814,-6.74583
FRO,Ilhas Faroé,Q285039,Q1094316,0,30,2021.0,61.536111111111,-6.8086111111111
FRO,Ilhas Faroé,Q301686,Q1094316,0,272,2021.0,61.548055555556,-6.7722222222222
FRO,Ilhas Faroé,Q308182,Q1094316,0,57,2021.0,61.550555555556,-6.8277777777778
FRO,Ilhas Faroé,Q369892,Q535561,0,83,2021.0,61.442777777778,-6.7713888888889
FRO,Ilhas Faroé,Q375415,Q934253,0,30,2021.0,62.316666666667,-6.3166666666667
FRO,Ilhas Faroé,Q420746,Q535561,0,15,2021.0,61.455555555556,-6.7591666666667
