iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
GEO,Geórgia,Q994,Q230,1,1400000,1998.0,41.7225,44.7925
GEO,Geórgia,Q25475,Q45693,0,169095,2020.0,41.645833333333,41.641666666667
GEO,Geórgia,Q182521,Q200048,0,158661,1989.0,41.543611111111,45.011666666667
GEO,Geórgia,Q172415,Q200045,0,147900,2015.0,42.271666666667,42.705555555556
GEO,Geórgia,Q1417170,Q130229,0,125692,2014.0,41.981686111111,44.112416666667
GEO,Geórgia,Q2410306,Q200048,0,118221,2002.0,41.487222222222,44.798055555556
GEO,Geórgia,Q2176973,Q200309,0,105509,2014.0,42.508055555556,41.8725
GEO,Geórgia,Q991409,Q45693,0,99800,1994.0,41.811111111111,41.775277777778
GEO,Geórgia,Q2512996,Q130229,0,99700,,41.460833333333,45.089444444444
GEO,Geórgia,Q175786,Q45693,0,93600,1994.0,41.58555556,41.66888889
GEO,Geórgia,Q19583,Q200047,0,68924,1989.0,41.981686111111,44.112416666667
GEO,Geórgia,Q185336,Q2176973,0,68535,2002.0,42.508055555556,41.8725
GEO,Geórgia,Q40811,Q307022,0,64441,2015.0,43.003611111111,41.019166666667
GEO,Geórgia,Q510761,Q19038,0,61305,2018.0,41.923055555556,42.005
GEO,Geórgia,Q2464187,Q130229,0,56532,2018.0,42.108333333333,43.041666666667
GEO,Geórgia,Q1560942,Q169674,0,54337,2014.0,41.744444444444,45.794166666667
GEO,Geórgia,Q2266679,Q203339,0,53944,2018.0,41.843055555556,44.719444444444
GEO,Geórgia,Q1790675,Q200047,0,52120,2018.0,41.9975,43.598611111111
GEO,Geórgia,Q1647344,Q169674,0,51761,2014.0,41.736944444444,45.325833333333
GEO,Geórgia,Q1892810,Q200045,0,51425,2018.0,42.326388888889,42.600555555556
