iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
GTM,Guatemala,Q2402199,Q669802,0,43139,2021.0,15.348333333333,-90.799444444444
GTM,Guatemala,Q2402348,Q885656,0,39286,2021.0,14.3811,-90.2761
GTM,Guatemala,Q2402363,Q669802,0,15777,2021.0,15.192777777778,-91.0775
GTM,Guatemala,Q2402369,Q669802,0,7787,2021.0,14.963888888889,-91.208055555556
GTM,Guatemala,Q2402377,Q842266,0,21208,2022.0,15.6167,-91.6833
GTM,Guatemala,Q2402387,Q842266,0,67297,2022.0,15.4078474,-91.9471876
GTM,Guatemala,Q2402391,Q883907,0,23171,2021.0,14.724261,-92.0334418
GTM,Guatemala,Q2402403,Q883734,0,48825,2021.0,14.466666666667,-91.483333333333
GTM,Guatemala,Q2402405,Q842266,0,10687,2022.0,15.68333333,-91.81666667
GTM,Guatemala,Q2402417,Q883907,0,52452,2021.0,15.25,-91.75
GTM,Guatemala,Q2402432,Q885644,0,42937,2021.0,14.91972222,-91.44
GTM,Guatemala,Q2402447,Q883734,0,12475,2021.0,14.53333333,-91.36666667
GTM,Guatemala,Q2402459,Q842266,0,64772,2022.0,15.71666667,-91.45
GTM,Guatemala,Q2402472,Q885644,0,58918,2021.0,15.029166666667,-91.329444444444
GTM,Guatemala,Q2402484,Q669802,0,9897,2021.0,14.926944444444,-90.665
GTM,Guatemala,Q2402499,Q669802,0,47250,2021.0,15.3379455,-91.0269829
GTM,Guatemala,Q2402509,Q888307,0,43281,2021.0,14.6,-91.73333333
GTM,Guatemala,Q2402524,Q842266,0,13786,2022.0,15.41666667,-91.66666667
GTM,Guatemala,Q2402566,Q844502,0,9665,2022.0,14.91666667,-91.53333333
GTM,Guatemala,Q2402581,Q842266,0,59638,2022.0,15.3429486,-91.3119816
GTM,Guatemala,Q1555,Q695660,1,994938,2025.0,14.641666666667,-90.513333333333
GTM,Guatemala,Q1555,Q695660,1,994938,2025.0,14.641666666667,-90.513333333333
GTM,Guatemala,Q1555,Q695660,1,1213651,2022.0,14.641666666667,-90.513333333333
GTM,Guatemala,Q1555,Q695660,1,1213651,2022.0,14.641666666667,-90.513333333333
GTM,Guatemala,Q1555,Q695660,1,994938,2025.0,14.641666666667,-90.513333333333
GTM,Guatemala,Q1555,Q695660,1,994938,2025.0,14.641666666667,-90.513333333333
GTM,Guatemala,Q1555,Q695660,1,994938,2025.0,14.641666666667,-90.513333333333
GTM,Guatemala,Q1555,Q695660,1,994938,2025.0,14.641666666667,-90.513333333333
GTM,Guatemala,Q1555,Q695660,1,994938,2025.0,14.641666666667,-90.513333333333
GTM,Guatemala,Q1555,Q695660,1,994938,2025.0,14.641666666667,-90.513333333333
GTM,Guatemala,Q1555,Q695660,1,994938,2025.0,14.641666666667,-90.513333333333
GTM,Guatemala,Q1555,Q695660,1,994938,2025.0,14.641666666667,-90.513333333333
GTM,Guatemala,Q1555,Q695660,1,994938,2025.0,14.641666666667,-90.513333333333
GTM,Guatemala,Q1555,Q695660,1,1213651,2022.0,14.641666666667,-90.513333333333
GTM,Guatemala,Q1555,Q695660,1,1213651,2022.0,14.641666666667,-90.513333333333
GTM,Guatemala,Q1555,Q695660,1,1213651,2022.0,14.641666666667,-90.513333333333
GTM,Guatemala,Q1555,Q695660,1,1213651,2022.0,14.641666666667,-90.513333333333
GTM,Guatemala,Q1555,Q695660,1,1213651,2022.0,14.641666666667,-90.513333333333
GTM,Guatemala,Q1555,Q695660,1,1213651,2022.0,14.641666666667,-90.513333333333
GTM,Guatemala,Q1555,Q695660,1,1213651,2022.0,14.641666666667,-90.513333333333
GTM,Guatemala,Q1555,Q695660,1,1213651,2022.0,14.641666666667,-90.513333333333
GTM,Guatemala,Q1555,Q695660,1,1213651,2022.0,14.641666666667,-90.513333333333
GTM,Guatemala,Q41804,Q693658,0,107400,2021.0,15.4725,-88.841388888889
GTM,Guatemala,Q41804,Q693658,0,107400,2021.0,15.4725,-88.841388888889
GTM,Guatemala,Q119252,Q508804,0,26769,2021.0,14.493333333333,-90.709444444444
GTM,Guatemala,Q119252,Q508804,0,26769,2021.0,14.493333333333,-90.709444444444
GTM,Guatemala,Q127622,Q695660,0,284798,2022.0,14.718888888889,-90.644166666667
GTM,Guatemala,Q127622,Q695660,0,284798,2022.0,14.718888888889,-90.644166666667
GTM,Guatemala,Q129369,Q795587,0,22884,,14.23083333,-90.94722222
GTM,Guatemala,Q129369,Q795587,0,22884,,14.23083333,-90.94722222
GTM,Guatemala,Q129369,Q795587,0,22884,,14.23083333,-90.94722222
GTM,Guatemala,Q129369,Q2608785,0,22884,,14.23083333,-90.94722222
GTM,Guatemala,Q129369,Q2608785,0,22884,,14.23083333,-90.94722222
GTM,Guatemala,Q129369,Q2608785,0,22884,,14.23083333,-90.94722222
GTM,Guatemala,Q129369,Q795587,0,22884,,14.233333333333,-90.95
GTM,Guatemala,Q129369,Q795587,0,22884,,14.233333333333,-90.95
GTM,Guatemala,Q129369,Q795587,0,22884,,14.233333333333,-90.95
GTM,Guatemala,Q129369,Q2608785,0,22884,,14.233333333333,-90.95
GTM,Guatemala,Q129369,Q2608785,0,22884,,14.233333333333,-90.95
GTM,Guatemala,Q129369,Q2608785,0,22884,,14.233333333333,-90.95
GTM,Guatemala,Q139179,Q780784,0,66423,2021.0,14.966666666667,-89.533333333333
GTM,Guatemala,Q139179,Q780784,0,66423,2021.0,14.966666666667,-89.533333333333
