iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
HTI,Haiti,Q34261,Q2222007,1,987310,2015.0,18.546944444444,-72.340277777778
HTI,Haiti,Q986207,Q2222007,0,511345,2015.0,18.53333,-72.4
HTI,Haiti,Q1001440,Q2222007,0,376834,2015.0,18.509830555556,-72.285552777778
HTI,Haiti,Q852550,Q2332261,0,356324,2015.0,19.445555555556,-72.688333333333
HTI,Haiti,Q997821,Q2222007,0,284079,2013.0,18.55,-72.3
HTI,Haiti,Q216835,Q943932,0,190289,2013.0,19.75,-72.2
HTI,Haiti,Q1200898,Q2538562,0,165424,,19.283333333333,-72.5
HTI,Haiti,Q132189,Q2344134,0,160181,2003.0,19.116666666667,-72.7
HTI,Haiti,Q986301,Q2710687,0,134317,2015.0,18.647222222222,-74.113888888889
HTI,Haiti,Q951602,Q608361,0,121220,2015.0,19.95,-72.833333333333
HTI,Haiti,Q777676,Q2344134,0,90226,2003.0,19.05,-72.466666666667
HTI,Haiti,Q2221815,Q2196184,0,86612,2015.0,18.85,-71.783333333333
HTI,Haiti,Q2229438,Q943932,0,69256,2003.0,19.705555555556,-72.414722222222
HTI,Haiti,Q1880895,Q2206238,0,61880,2015.0,19.016666666667,-71.966666666667
HTI,Haiti,Q1914855,Q2206238,0,58942,2015.0,19.166666666667,-72.133333333333
HTI,Haiti,Q1017073,Q2711200,0,56864,2009.0,18.4458,-73.09
HTI,Haiti,Q2703974,Q2536941,0,55138,2003.0,18.516666666667,-73.35
HTI,Haiti,Q569452,Q3623880,0,52662,,18.833333333333,-72.866666666667
HTI,Haiti,Q2638005,Q2010000,0,51410,2009.0,19.166666666667,-71.783333333333
HTI,Haiti,Q2711238,Q890732,0,50000,,18.383333333333,-71.85
