iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
IDN,Indonésia,Q3630,http://www.wikidata.org/entity/Q252,0,11135191,2024,-6.1752777777778,106.82694444444
IDN,Indonésia,Q2625521,http://www.wikidata.org/entity/Q3916,0,77765,2000,-1.85,109.98333333333
IDN,Indonésia,Q4064550,http://www.wikidata.org/entity/Q3906,0,41554,2000,-2.41773,115.24941
IDN,Indonésia,Q10773354,http://www.wikidata.org/entity/Q11108,0,85862,2024,-7.4105555555556,111.45777777778
IDN,Indonésia,Q12520861,http://www.wikidata.org/entity/Q8167544,0,11233,2015,-1.782222,120.649444
IDN,Indonésia,Q65061424,,0,3711304,2020,-8.0,112.61666666667
IDN,Indonésia,Q65299509,http://www.wikidata.org/entity/Q2110,0,800348,2016,-5.4291694444444,105.26111111111
IDN,Indonésia,Q124900452,http://www.wikidata.org/entity/Q14468,0,150990,2020,0.4768547,117.4675589
IDN,Indonésia,Q7578,http://www.wikidata.org/entity/Q2051,0,612162,2021,-1.59,103.61
IDN,Indonésia,Q7786,http://www.wikidata.org/entity/Q2175,0,983356,2020,0.53333333333333,101.45
