iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
IDN,Indonésia,Q65061424,,0,3711304.0,2020.0,-8.0,112.61666666667
IDN,Indonésia,Q7786,Q2175,0,983356.0,2020.0,0.53333333333333,101.45
IDN,Indonésia,Q65299509,Q2110,0,800348.0,2016.0,-5.4291694444444,105.26111111111
IDN,Indonésia,Q7578,Q2051,0,612162.0,2021.0,-1.59,103.61
IDN,Indonésia,Q124900452,Q14468,0,150990.0,2020.0,0.4768547,117.4675589
IDN,Indonésia,Q10773354,Q11108,0,85862.0,2024.0,-7.4105555555556,111.45777777778
IDN,Indonésia,Q2625521,Q3916,0,77765.0,2000.0,-1.85,109.98333333333
IDN,Indonésia,Q4064550,Q3906,0,41554.0,2000.0,-2.41773,115.24941
IDN,Indonésia,Q12520861,Q8167544,0,11233.0,2015.0,-1.782222,120.649444
IDN,Indonésia,Q1534265,Q4194865,0,7000.0,,-4.5167027777778,129.90303055556
IDN,Indonésia,Q65300020,Q4194789,0,2498.0,2021.0,0.72444444444444,127.58055555556
IDN,Indonésia,Q115045527,Q5068,0,2000.0,,,
IDN,Indonésia,Q133824024,Q2140,0,430.0,,,
IDN,Indonésia,Q98545509,Q11025,0,,,,
IDN,Indonésia,Q90042366,Q5061,0,,,-9.396944,124.467778
IDN,Indonésia,Q811657,,0,,,-10.3,123.71666667
IDN,Indonésia,Q8047138,Q5096,0,,,-2.1,133.05
IDN,Indonésia,Q804109,Q14145,0,,,-8.807967,120.956247
IDN,Indonésia,Q7960673,,0,,,-8.38333,123.15
IDN,Indonésia,Q7959920,Q14134,0,,,-9.63333333,119.41666667
