iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
IND,Índia,Q1353,Q9357528,0,26495000,2016.0,28.666666666667,77.216666666667
IND,Índia,Q1156,Q1191,0,15414288,2018.0,19.075833333333,72.8775
IND,Índia,Q1355,Q806463,0,12327000,2020.0,12.9791198,77.5912997
IND,Índia,Q1361,Q677037,0,9400000,2014.0,17.361666666667,78.474722222222
IND,Índia,Q1070,Q401686,0,7645000,2016.0,23.021944444444,72.579722222222
IND,Índia,Q1352,Q15116,0,6599000,2024.0,13.0825,80.275
IND,Índia,Q162442,Q1773426,0,5954391,,25.45,81.85
IND,Índia,Q1538,Q1797336,0,5945000,2016.0,18.519574,73.855287
IND,Índia,Q4629,Q1061,0,5935000,2016.0,21.205,72.84
IND,Índia,Q1348,Q2088496,0,4580544,2001.0,22.5675,88.37
IND,Índia,Q47916,Q1773416,0,3382000,2017.0,26.847,80.947
IND,Índia,Q66485,Q1134781,0,3073350,2011.0,26.915,75.82
IND,Índia,Q66568,Q2089152,0,3067700,2008.0,26.4725,80.331111111111
IND,Índia,Q1513,Q1797367,0,2405665,,21.149722222222,79.080555555556
IND,Índia,Q207098,Q1773444,0,2375820,2011.0,28.666666666667,77.416666666667
IND,Índia,Q11909,Q578285,0,2065771,2011.0,22.3,73.2
IND,Índia,Q11854,Q25565187,0,2043000,2023.0,22.296908333333,70.798363888889
IND,Índia,Q200016,Q15394,0,2035922,2011.0,17.733333333333,83.316666666667
IND,Índia,Q66616,Q83618,0,1994397,2011.0,22.718611111111,75.855
IND,Índia,Q207749,Q943099,0,1886941,2011.0,19.18,72.963333333333
