iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
IRL,Irlanda,Q889862,Q1761,0,2149909,2021.0,,
IRL,Irlanda,Q1761,Q4169280,1,592713,2022.0,53.349722222222,-6.2602777777778
IRL,Irlanda,Q4169280,Q159736,0,506211,2006.0,53.35512,-6.24922
IRL,Irlanda,Q36647,Q162475,0,222333,2022.0,51.9,-8.4730555555556
IRL,Irlanda,Q129610,Q133862337,0,83456,2022.0,53.2729,-9.0418
IRL,Irlanda,Q133315,Q178283,0,62702,2022.0,52.6653,-8.6238
IRL,Irlanda,Q183551,Q184594,0,48369,2016.0,52.2583,-7.119
IRL,Irlanda,Q207223,Q183539,0,40956,2016.0,53.715,-6.3525
IRL,Irlanda,Q987745,Q520000,0,40776,2022.0,53.4597,-6.2181
IRL,Irlanda,Q204956,Q183539,0,39004,2016.0,54.004444444444,-6.4002777777778
IRL,Irlanda,Q2092179,Q1761,0,31529,,53.390175,-6.299629
IRL,Irlanda,Q2448591,Q538417,0,28557,2002.0,53.3015,-6.1778
IRL,Irlanda,Q211703,Q181882,0,24272,2016.0,52.8306,-6.9317
IRL,Irlanda,Q209128,Q181862,0,24253,2006.0,52.8463,-8.9807
IRL,Irlanda,Q745989,Q173500,0,23857,,53.3,-6.14
IRL,Irlanda,Q2088319,Q173500,0,22740,2002.0,53.365714,-6.290789
IRL,Irlanda,Q109092,Q180231,0,22179,2011.0,52.6477,-7.2561
IRL,Irlanda,Q804704,Q173500,0,21722,2016.0,53.608611111111,-6.1830555555556
IRL,Irlanda,Q216038,Q6406731,0,21393,2016.0,53.2158,-6.6669
IRL,Irlanda,Q55308,Q182633,0,20928,2016.0,53.5224,-7.3378
