iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
IRQ,Iraque,Q1530,Q146720,1,8126755,2018,33.315277777778,44.366111111111
IRQ,Iraque,Q83317,Q189352,0,2882442,2010,36.366666666667,43.116666666667
IRQ,Iraque,Q48195,Q193551,0,1326564,2018,30.515,47.81
IRQ,Iraque,Q173310,Q193268,0,975000,2011,35.466666666667,44.4
IRQ,Iraque,Q191204,Q205047,0,878146,2018,35.55,45.433333333333
IRQ,Iraque,Q192961,Q187334,0,874543,2005,33.425833333333,43.299166666667
IRQ,Iraque,Q38811,Q215649,0,860200,2012,31.043888888889,46.2575
IRQ,Iraque,Q132754,Q213189,0,846000,2015,36.191111111111,44.009444444444
IRQ,Iraque,Q168193,Q192882,0,820000,2003,32.028951,44.339621
IRQ,Iraque,Q199909,Q214104,0,690100,2014,32.616666666667,44.033333333333
IRQ,Iraque,Q243846,Q59202,0,541034,2015,32.483333333333,44.433333333333
IRQ,Iraque,Q366010,Q213170,0,511500,2015,31.833333333333,47.15
IRQ,Iraque,Q192541,Q3627700,0,500000,622,33.093611,44.580833
IRQ,Iraque,Q270821,Q217075,0,467900,2003,33.744722222222,44.643611111111
IRQ,Iraque,Q694939,Q62987,0,391600,2015,31.989166666667,44.924722222222
IRQ,Iraque,Q328030,Q189747,0,377600,2015,32.514722222222,45.818888888889
IRQ,Iraque,Q227509,Q193551,0,370000,2014,30.389166666667,47.708055555556
IRQ,Iraque,Q170047,Q190131,0,348700,2003,34.1959,43.88568
IRQ,Iraque,Q152831,Q189541,0,330600,2015,36.85,42.983333333333
IRQ,Iraque,Q191170,Q187334,0,326471,2010,33.35,43.783333333333
