iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
ISR,Israel,Q123196,Q5423623,0,19227,2001.0,31.525,34.596944444444
ISR,Israel,Q123196,Q5423623,0,19400,2002.0,31.525,34.596944444444
ISR,Israel,Q123196,Q5423623,0,9400,1987.0,31.525,34.596944444444
ISR,Israel,Q123196,Q5423623,0,20700,2008.0,31.525,34.596944444444
ISR,Israel,Q123196,Q5423623,0,3200,1959.0,31.525,34.596944444444
ISR,Israel,Q123196,Q5423623,0,17939,1996.0,31.525,34.596944444444
ISR,Israel,Q123196,Q5423623,0,24000,2011.0,31.525,34.596944444444
ISR,Israel,Q123196,Q5423623,0,24000,2016.0,31.525,34.596944444444
ISR,Israel,Q123196,Q5423623,0,9300,1985.0,31.525,34.596944444444
ISR,Israel,Q123196,Q5423623,0,6700,1967.0,31.525,34.596944444444
ISR,Israel,Q123196,Q5423623,0,9700,1989.0,31.525,34.596944444444
ISR,Israel,Q123196,Q5423623,0,13000,1992.0,31.525,34.596944444444
ISR,Israel,Q123196,Q5423623,0,172,1951.0,31.525,34.596944444444
ISR,Israel,Q123196,Q5423623,0,8700,1980.0,31.525,34.596944444444
ISR,Israel,Q123196,Q5423623,0,19175,2000.0,31.525,34.596944444444
ISR,Israel,Q123196,Q5423623,0,26500,2018.0,31.525,34.596944444444
ISR,Israel,Q123196,Q5423623,0,2900,1957.0,31.525,34.596944444444
ISR,Israel,Q123196,Q5423623,0,9000,1983.0,31.525,34.596944444444
ISR,Israel,Q123196,Q5423623,0,8500,1975.0,31.525,34.596944444444
ISR,Israel,Q123196,Q5423623,0,3900,1961.0,31.525,34.596944444444
ISR,Israel,Q123196,Q5423623,0,9400,1986.0,31.525,34.596944444444
ISR,Israel,Q123196,Q5423623,0,21900,2013.0,31.525,34.596944444444
ISR,Israel,Q123196,Q5423623,0,18339,1997.0,31.525,34.596944444444
ISR,Israel,Q123196,Q5423623,0,11400,1991.0,31.525,34.596944444444
ISR,Israel,Q123196,Q5423623,0,7500,1970.0,31.525,34.596944444444
ISR,Israel,Q123196,Q5423623,0,7500,1972.0,31.525,34.596944444444
ISR,Israel,Q123196,Q5423623,0,2693,1956.0,31.525,34.596944444444
ISR,Israel,Q123196,Q188781,0,19227,2001.0,31.525,34.596944444444
ISR,Israel,Q123196,Q188781,0,19400,2002.0,31.525,34.596944444444
ISR,Israel,Q123196,Q188781,0,9400,1987.0,31.525,34.596944444444
ISR,Israel,Q123196,Q188781,0,20700,2008.0,31.525,34.596944444444
ISR,Israel,Q123196,Q188781,0,3200,1959.0,31.525,34.596944444444
ISR,Israel,Q123196,Q188781,0,17939,1996.0,31.525,34.596944444444
ISR,Israel,Q123196,Q188781,0,24000,2011.0,31.525,34.596944444444
ISR,Israel,Q123196,Q188781,0,24000,2016.0,31.525,34.596944444444
ISR,Israel,Q123196,Q188781,0,9300,1985.0,31.525,34.596944444444
ISR,Israel,Q123196,Q188781,0,6700,1967.0,31.525,34.596944444444
ISR,Israel,Q123196,Q188781,0,9700,1989.0,31.525,34.596944444444
ISR,Israel,Q123196,Q188781,0,13000,1992.0,31.525,34.596944444444
ISR,Israel,Q123196,Q188781,0,172,1951.0,31.525,34.596944444444
ISR,Israel,Q123196,Q188781,0,8700,1980.0,31.525,34.596944444444
ISR,Israel,Q123196,Q188781,0,19175,2000.0,31.525,34.596944444444
ISR,Israel,Q123196,Q188781,0,26500,2018.0,31.525,34.596944444444
ISR,Israel,Q123196,Q188781,0,2900,1957.0,31.525,34.596944444444
ISR,Israel,Q123196,Q188781,0,9000,1983.0,31.525,34.596944444444
ISR,Israel,Q123196,Q188781,0,8500,1975.0,31.525,34.596944444444
ISR,Israel,Q123196,Q188781,0,3900,1961.0,31.525,34.596944444444
ISR,Israel,Q123196,Q188781,0,9400,1986.0,31.525,34.596944444444
ISR,Israel,Q123196,Q188781,0,21900,2013.0,31.525,34.596944444444
ISR,Israel,Q123196,Q188781,0,18339,1997.0,31.525,34.596944444444
ISR,Israel,Q123196,Q188781,0,11400,1991.0,31.525,34.596944444444
ISR,Israel,Q123196,Q188781,0,7500,1970.0,31.525,34.596944444444
ISR,Israel,Q123196,Q188781,0,7500,1972.0,31.525,34.596944444444
ISR,Israel,Q123196,Q188781,0,2693,1956.0,31.525,34.596944444444
ISR,Israel,Q123196,Q188781,0,23100,2015.0,31.525,34.596944444444
ISR,Israel,Q123196,Q5423623,0,23100,2015.0,31.525,34.596944444444
ISR,Israel,Q123196,Q188781,0,6750,1968.0,31.525,34.596944444444
ISR,Israel,Q123196,Q5423623,0,6750,1968.0,31.525,34.596944444444
ISR,Israel,Q123196,Q188781,0,7600,1971.0,31.525,34.596944444444
ISR,Israel,Q123196,Q5423623,0,7600,1971.0,31.525,34.596944444444
ISR,Israel,Q123196,Q188781,0,19300,2007.0,31.525,34.596944444444
ISR,Israel,Q123196,Q5423623,0,19300,2007.0,31.525,34.596944444444
ISR,Israel,Q123196,Q188781,0,3500,1960.0,31.525,34.596944444444
ISR,Israel,Q123196,Q5423623,0,3500,1960.0,31.525,34.596944444444
