iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
ITA,Itália,Q279,http://www.wikidata.org/entity/Q16209,0,185273,,44.64582,10.92572
ITA,Itália,Q490,http://www.wikidata.org/entity/Q18288155,0,1366180,,45.466944444444,9.19
ITA,Itália,Q495,http://www.wikidata.org/entity/Q18288162,0,1117154,,45.079166666667,7.6761111111111
ITA,Itália,Q541,http://www.wikidata.org/entity/Q16286,0,20841,,42.716666666667,12.1
ITA,Itália,Q546,http://www.wikidata.org/entity/Q104182228,0,205374,,45.650277777778,13.770277777778
ITA,Itália,Q581,http://www.wikidata.org/entity/Q18288155,0,12593,,45.566666666667,8.9333333333333
ITA,Itália,Q1465,http://www.wikidata.org/entity/Q16126,0,20608,,46.016666666667,11.9
ITA,Itália,Q1891,http://www.wikidata.org/entity/Q18288145,0,392564,,44.493888888889,11.342777777778
ITA,Itália,Q1897,http://www.wikidata.org/entity/Q3622022,0,156650,,39.216666666667,9.1166666666667
ITA,Itália,Q1903,http://www.wikidata.org/entity/Q20991246,0,311584,,37.502669444444,15.087269444444
ITA,Itália,Q1906,http://www.wikidata.org/entity/Q16153,0,76257,,41.066667,14.333333
ITA,Itália,Q2028,http://www.wikidata.org/entity/Q16314,0,266205,,45.438611111111,10.992777777778
ITA,Itália,Q2751,http://www.wikidata.org/entity/Q16275,0,53901,,43.318333333333,11.331388888889
ITA,Itália,Q5475,http://www.wikidata.org/entity/Q16292,0,91200,,45.672219444444,12.242219444444
ITA,Itália,Q5968,http://www.wikidata.org/entity/Q15091,0,56281,,44.383333333333,7.55
ITA,Itália,Q5990,http://www.wikidata.org/entity/Q15096,0,46552,,45.32615,8.42341
ITA,Itália,Q6029,http://www.wikidata.org/entity/Q16286,0,4726,,42.690669735943,12.546326927994
ITA,Itália,Q6046,http://www.wikidata.org/entity/Q16216,0,105200,,45.45,8.62
ITA,Itália,Q6052,http://www.wikidata.org/entity/Q16286,0,1769,,42.816666666667,11.966666666667
ITA,Itália,Q6067,http://www.wikidata.org/entity/Q16286,0,1466,,42.583333333333,12.3
ITA,Itália,Q6088,http://www.wikidata.org/entity/Q15097,0,93980,,44.913330555556,8.62
ITA,Itália,Q6122,http://www.wikidata.org/entity/Q15099,0,76211,,44.9,8.2069444444444
ITA,Itália,Q6221,http://www.wikidata.org/entity/Q16144,0,197008,,45.538888888889,10.220280555556
ITA,Itália,Q6526,http://www.wikidata.org/entity/Q15124,0,107317,,46.498113,11.35478
ITA,Itália,Q6537,http://www.wikidata.org/entity/Q16316,0,112953,,45.55,11.55
ITA,Itália,Q220,http://www.wikidata.org/entity/Q18288160,1,2873494,,41.893055555556,12.482777777778
ITA,Itália,Q617,http://www.wikidata.org/entity/Q16226,0,211560,,45.407777777778,11.873333333333
ITA,Itália,Q628,http://www.wikidata.org/entity/Q16137,0,124600,,45.695,9.67
ITA,Itália,Q641,http://www.wikidata.org/entity/Q3678587,0,264579,,45.439722222222,12.331944444444
ITA,Itália,Q952,http://www.wikidata.org/entity/Q16254,0,9192,,44.916666666667,10.816666666667
ITA,Itália,Q1083,http://www.wikidata.org/entity/Q16271,0,135066,,40.680555555556,14.759444444444
ITA,Itália,Q1155,http://www.wikidata.org/entity/Q16299,0,83405,,45.611958333333,8.8518
