iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
JOR,Jordânia,Q3805,Q472788,1,4007526,2015.0,31.95,35.933333333333
JOR,Jordânia,Q194165,Q721441,0,1911600,2018.0,32.555555555556,35.85
JOR,Jordânia,Q1218,Q192232,0,936425,2019.0,31.778888888889,35.225555555556
JOR,Jordânia,Q148062,Q721445,0,481300,2013.0,32.083333333333,36.1
JOR,Jordânia,Q2361176,Q721445,0,472604,2015.0,32.017777777778,36.046388888889
JOR,Jordânia,Q168225,Q36678,0,215452,2016.0,31.535,35.098611111111
JOR,Jordânia,Q1141858,Q506658,0,190200,,32.3325,35.751666666667
JOR,Jordânia,Q214178,Q1074138,0,177638,2024.0,32.216111111111,35.266111111111
JOR,Jordânia,Q2282208,Q264180,0,167424,1961.0,31.447777777778,35.09
JOR,Jordânia,Q31594,Q27125429,0,155693,,32.559166666667,36.006944444444
JOR,Jordânia,Q1020997,Q27126231,0,152000,2011.0,31.9545,35.81831
JOR,Jordânia,Q180522,Q260796,0,140000,2014.0,29.532222222222,35.006111111111
JOR,Jordânia,Q985531,Q1093157,0,89759,2022.0,32.311111111111,35.030833333333
JOR,Jordânia,Q867586,Q721431,0,88900,,32.039166666667,35.727222222222
JOR,Jordânia,Q8063414,Q854871,0,79000,,32.295658,36.3237619
JOR,Jordânia,Q168140,Q513200,0,76374,2019.0,31.933276,35.0428924
JOR,Jordânia,Q27125371,,0,63244,,32.51031,35.85444
JOR,Jordânia,Q152578,Q513200,0,63220,2021.0,31.697777777778,35.115277777778
JOR,Jordânia,Q2426928,Q721445,0,57490,2019.0,31.833333333333,36.816666666667
JOR,Jordânia,Q31565,Q750270,0,50745,2015.0,32.272280555556,35.891397222222
