iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
JPN,Japão,Q1490,Q17,1,38140000,2016,35.689444444444,139.69166666667
JPN,Japão,Q38283,Q127513,0,3757630,2020,35.450333333333,139.63422222222
JPN,Japão,Q35765,Q122723,0,2751862,2021,34.69375,135.50211111111
JPN,Japão,Q11751,Q80434,0,2326844,2021,35.18147,136.90641
JPN,Japão,Q37951,Q1997315,0,1959313,2020,43.061944444444,141.35444444444
JPN,Japão,Q26600,Q123258,0,1603043,2020,33.59,130.40166666667
JPN,Japão,Q164234,Q127513,0,1539522,2020,35.530888888889,139.703
JPN,Japão,Q48320,Q130290,0,1521707,2021,34.690166666667,135.19544444444
JPN,Japão,Q34600,Q120730,0,1479218,1985,35.10737,135.72402
JPN,Japão,Q134635,Q128186,0,1325843,2021,35.861388888889,139.64555555556
JPN,Japão,Q34664,Q617375,0,1306589,2018,34.38525,132.45530555556
JPN,Japão,Q46747,Q47896,0,1082159,2015,38.268222222222,140.86941666667
JPN,Japão,Q193428,Q122723,0,841966,2010,34.573333333333,135.483
JPN,Japão,Q199889,Q130308,0,740822,2015,32.803,130.70786111111
JPN,Japão,Q200078,Q132936,0,720043,2021,34.655111111111,133.91958333333
JPN,Japão,Q15674,Q15701,0,605855,2021,31.596805555556,130.55713888889
JPN,Japão,Q200589,Q44843,0,518594,2015,36.555111111111,139.88255555556
JPN,Japão,Q200022,Q123376,0,517231,2010,33.83916,132.76574
JPN,Japão,Q243863,Q122723,0,509533,2010,34.679361111111,135.60088888889
JPN,Japão,Q243853,Q130290,0,487850,2015,34.737638888889,135.34175
