iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
KEN,Quênia,Q3870,Q3335223,1,5545000,2016.0,-1.2863888888889,36.817222222222
KEN,Quênia,Q225641,Q1112885,0,1300000,2014.0,-4.05,39.666666666667
KEN,Quênia,Q974323,Q1781723,0,1056640,2019.0,-0.720251,37.159431
KEN,Quênia,Q131936106,Q47463410,0,416403,2024.0,,
KEN,Quênia,Q214485,Q38589,0,409928,2009.0,-0.1,34.75
KEN,Quênia,Q239421,Q1852202,0,307990,2009.0,-0.28333333333333,36.066666666667
KEN,Quênia,Q322149,Q1121429,0,289380,2009.0,0.51666666666667,35.283333333333
KEN,Quênia,Q1007680,Q1494292,0,218873,2009.0,0.05217,40.30705
KEN,Quênia,Q7070826,Q1112885,0,185900,2009.0,-4.05,39.695463
KEN,Quênia,Q116954165,,0,176689,2019.0,-1.2712,36.7394
KEN,Quênia,Q13123165,,0,156041,2019.0,-1.10183,37.01431
KEN,Quênia,Q104880774,Q114,0,136351,2019.0,-1.3833333333333,36.916666666667
KEN,Quênia,Q693093,Q1882639,0,114109,1999.0,-1.5166666666667,37.266666666667
KEN,Quênia,Q1007719,Q1743730,0,112417,2019.0,-0.6698,34.7675
KEN,Quênia,Q1020110,Q38585,0,99987,2009.0,0.33333333333333,34.483333333333
KEN,Quênia,Q380130,Q318666,0,98908,,-0.41666666666667,36.95
KEN,Quênia,Q302912,Q1721867,0,91778,2009.0,0.28333333333333,34.75
KEN,Quênia,Q730791,Q1852209,0,90116,2019.0,1.7472222222222,40.057222222222
KEN,Quênia,Q5991218,Q47463410,0,84181,2015.0,0.11055556,40.31555556
KEN,Quênia,Q589616,Q318666,0,83000,,-1.05,37.08333333
