iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
KGZ,Quirguistão,Q9361,Q813,1,1191000,2025.0,42.866666666667,74.566666666667
KGZ,Quirguistão,Q47282,Q813,0,375400,2025.0,40.533333333333,72.783333333333
KGZ,Quirguistão,Q487689,Q231987,0,89004,2009.0,40.9375,72.98611111
KGZ,Quirguistão,Q194452,Q487413,0,85588,2022.0,42.490555555556,78.393611111111
KGZ,Quirguistão,Q854333,Q486370,0,72927,1989.0,42.839,75.291
KGZ,Quirguistão,Q805876,Q130276,0,54132,2023.0,42.466666666667,76.183333333333
KGZ,Quirguistão,Q2015760,Q878861,0,53887,1989.0,42.816666666667,73.85
KGZ,Quirguistão,Q2347569,Q487631,0,51300,2015.0,40.25,72.11666667
KGZ,Quirguistão,Q765887,Q231987,0,49410,2009.0,40.766666666667,73.3
KGZ,Quirguistão,Q311946,Q130276,0,42210,1989.0,41.433333333333,76.0
KGZ,Quirguistão,Q1703230,Q487640,0,41011,2021.0,41.07,72.74
KGZ,Quirguistão,Q643955,Q109838,0,34100,2005.0,42.516666666667,72.233333333333
KGZ,Quirguistão,Q1355846,Q487640,0,29629,1989.0,41.2457479,72.448039
KGZ,Quirguistão,Q478031,Q487631,0,27730,2021.0,40.0625,70.819444444444
KGZ,Quirguistão,Q4445602,Q2556747,0,24049,2009.0,40.89805556,72.90472222
KGZ,Quirguistão,Q2283488,Q487640,0,23331,1999.0,41.35,72.216666666667
KGZ,Quirguistão,Q1554994,Q487640,0,22225,1989.0,41.633333333333,72.666666666667
KGZ,Quirguistão,Q683441,Q2574782,0,21708,2008.0,40.316666666667,73.433333333333
KGZ,Quirguistão,Q1752301,Q754798,0,21678,2018.0,41.406944444444,74.033333333333
KGZ,Quirguistão,Q816163,Q879096,0,21275,,42.833333333333,74.116666666667
