iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
KIR,Quiribati,Q2486,Q271876,1,70090,2020.0,1.4333333333333,173.0
KIR,Quiribati,Q131233,Q271876,1,63439,2020.0,1.3333333333333,172.96666666667
KIR,Quiribati,Q10378793,Q98435220,0,6073,2020.0,1.33333,173.0
KIR,Quiribati,Q5349994,Q98435220,0,3921,,1.36154,173.08113
KIR,Quiribati,Q7673655,Q33225285,0,3547,,2.01808,-157.488
KIR,Quiribati,Q999487,Q98435220,0,3500,2020.0,1.32926,172.97495
KIR,Quiribati,Q892859,Q98435220,0,3075,,1.3722222222222,173.1525
KIR,Quiribati,Q27222398,Q98435220,0,2780,,1.35317,173.04259
KIR,Quiribati,Q2477346,Q710,0,1895,2015.0,1.9833333333333,-157.475
KIR,Quiribati,Q4998012,Q15647452,0,1756,2015.0,1.39078,173.13082
KIR,Quiribati,Q27222400,Q98435220,0,1257,2020.0,1.33015,172.9978
KIR,Quiribati,Q130499713,Q15647452,0,891,2015.0,1.5169554028885,173.00659057919
KIR,Quiribati,Q131980394,Q15647452,0,845,2005.0,1.517481,173.008683
KIR,Quiribati,Q2400204,Q15647452,0,752,2010.0,1.61289,172.96094
KIR,Quiribati,Q27220957,Q15647452,0,699,2000.0,1.49702,173.01528
KIR,Quiribati,Q7673494,,0,694,2015.0,-1.3833333333333,176.01666666667
KIR,Quiribati,Q27221115,Q15647452,0,450,1992.0,1.59039,172.96973
KIR,Quiribati,Q27221042,Q15647452,0,435,2010.0,1.4358,173.07918
KIR,Quiribati,Q27220959,Q15647452,0,421,2005.0,1.39914,173.11836
KIR,Quiribati,Q27221088,Q15647452,0,391,2005.0,1.42301,173.09988
