iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
LAO,Laos,Q9326,Q390377,1,1003004,2023.0,17.98,102.63
LAO,Laos,Q465961,Q819,0,345425,2020.0,20.7,101.816667
LAO,Laos,Q750443,Q465940,0,124000,2005.0,16.55,104.75
LAO,Laos,Q383622,Q334888,0,119848,2010.0,15.116666666667,105.78333333333
LAO,Laos,Q1018701,Q7709364,0,70000,,17.41027,104.83068
LAO,Laos,Q190165,Q747881,0,53792,2012.0,19.89,102.13472222222
LAO,Laos,Q1011711,Q7161011,0,37507,2009.0,19.45,103.2
LAO,Laos,Q660793,Q948691,0,28551,2015.0,20.95,101.4
LAO,Laos,Q1012615,Q27431580,0,25000,,18.926666666667,102.44944444444
LAO,Laos,Q757905,Q7408511,0,19200,2005.0,14.8,106.83333333333
LAO,Laos,Q717371,Q5912694,0,17687,2010.0,20.276388888889,100.41305555556
LAO,Laos,Q966990,Q334868,0,15083,2010.0,21.683611111111,102.10527777778
LAO,Laos,Q2087536,Q6480669,0,5000,,15.4,106.7
LAO,Laos,Q894686,Q6962098,0,2500,,21.18333333,101.67083333
