iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
MOZ,Moçambique,Q3889,Q1029,1,1191613,2018.0,-25.915277777778,32.576388888889
MOZ,Moçambique,Q109949,Q379658,0,1032197,2017.0,-25.966666666667,32.466666666667
MOZ,Moçambique,Q323801,Q6962046,0,743000,2017.0,-15.116666666667,39.266666666667
MOZ,Moçambique,Q211563,Q56037053,0,533825,2017.0,-19.833333333333,34.85
MOZ,Moçambique,Q318306,Q56037161,0,349842,2017.0,-17.876388888889,36.887222222222
MOZ,Moçambique,Q638509,Q622792,0,238976,2007.0,-19.116666666667,33.45
MOZ,Moçambique,Q990080,Q622794,0,206449,,-14.55,40.683333333333
MOZ,Moçambique,Q525118,Q466547,0,155521,2022.0,-23.859722222222,35.347222222222
MOZ,Moçambique,Q388242,Q605787,0,152909,2007.0,-16.157916666667,33.589805555556
MOZ,Moçambique,Q667650,Q2090184,0,142253,2007.0,-13.3,35.245555555556
MOZ,Moçambique,Q498048,Q25443778,0,141316,2007.0,-12.966666666667,40.516666666667
MOZ,Moçambique,Q6748076,Q10323569,0,118922,2012.0,-14.353,35.651
MOZ,Moçambique,Q318299,Q466526,0,116343,2007.0,-25.05,33.65
MOZ,Moçambique,Q456577,Q466547,0,82119,2017.0,-23.865,35.383333333333
MOZ,Moçambique,Q3315681,Q2444715,0,75000,2020.0,-10.78333333,40.48333333
MOZ,Moçambique,Q520687,Q6887878,0,69045,2008.0,-16.8390998,36.98552598
MOZ,Moçambique,Q1022170,Q2048783,0,63695,2017.0,-24.53333,32.98333
MOZ,Moçambique,Q10323671,Q379658,0,60031,,-25.4,32.8
MOZ,Moçambique,Q1011972,Q602291,0,58012,2009.0,-24.686666666667,33.530555555556
MOZ,Moçambique,Q10373307,Q605787,0,36523,2007.0,-15.61421,32.77092
