iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
NAM,Namíbia,Q12731676,Q752676,0,3000,,-23.783333333333,16.633333333333
NAM,Namíbia,Q12731676,Q2139020,0,3000,,-23.783333333333,16.633333333333
NAM,Namíbia,Q15108835,Q876506,0,1000,2009.0,-20.11555556,18.18527778
NAM,Namíbia,Q15108835,Q3711673,0,1000,2009.0,-20.11555556,18.18527778
NAM,Namíbia,Q28401753,Q876512,0,4000,2016.0,-18.772029,17.964127
NAM,Namíbia,Q28401753,Q1554118,0,4000,2016.0,-18.772029,17.964127
NAM,Namíbia,Q3935,Q834508,1,322500,2010.0,-22.57,17.083611111111
NAM,Namíbia,Q3935,Q834508,1,322500,2010.0,-22.57,17.083611111111
NAM,Namíbia,Q3935,Q834508,1,322500,2010.0,-22.57,17.083611111111
NAM,Namíbia,Q3935,Q834508,1,322500,2010.0,-22.57,17.083611111111
NAM,Namíbia,Q3935,Q834508,1,233529,2001.0,-22.57,17.083611111111
NAM,Namíbia,Q3935,Q834508,1,233529,2001.0,-22.57,17.083611111111
NAM,Namíbia,Q3935,Q834508,1,233529,2001.0,-22.57,17.083611111111
NAM,Namíbia,Q3935,Q834508,1,233529,2001.0,-22.57,17.083611111111
NAM,Namíbia,Q3935,Q834508,1,431000,2020.0,-22.57,17.083611111111
NAM,Namíbia,Q3935,Q834508,1,431000,2020.0,-22.57,17.083611111111
NAM,Namíbia,Q3935,Q834508,1,431000,2020.0,-22.57,17.083611111111
NAM,Namíbia,Q3935,Q834508,1,431000,2020.0,-22.57,17.083611111111
NAM,Namíbia,Q3935,Q834508,1,395000,2016.0,-22.57,17.083611111111
NAM,Namíbia,Q3935,Q834508,1,395000,2016.0,-22.57,17.083611111111
NAM,Namíbia,Q3935,Q834508,1,395000,2016.0,-22.57,17.083611111111
NAM,Namíbia,Q3935,Q834508,1,395000,2016.0,-22.57,17.083611111111
NAM,Namíbia,Q3935,Q834508,1,334580,2012.0,-22.57,17.083611111111
NAM,Namíbia,Q3935,Q834508,1,334580,2012.0,-22.57,17.083611111111
NAM,Namíbia,Q3935,Q834508,1,334580,2012.0,-22.57,17.083611111111
NAM,Namíbia,Q3935,Q834508,1,334580,2012.0,-22.57,17.083611111111
NAM,Namíbia,Q3935,Q834508,1,325858,2011.0,-22.57,17.083611111111
NAM,Namíbia,Q3935,Q834508,1,325858,2011.0,-22.57,17.083611111111
NAM,Namíbia,Q3935,Q834508,1,325858,2011.0,-22.57,17.083611111111
NAM,Namíbia,Q3935,Q834508,1,325858,2011.0,-22.57,17.083611111111
NAM,Namíbia,Q59698,Q153665,0,34300,2010.0,-22.666666666667,14.533333333333
NAM,Namíbia,Q59698,Q153665,0,34300,2010.0,-22.666666666667,14.533333333333
NAM,Namíbia,Q59698,Q648753,0,34300,2010.0,-22.666666666667,14.533333333333
NAM,Namíbia,Q59698,Q648753,0,34300,2010.0,-22.666666666667,14.533333333333
NAM,Namíbia,Q59698,Q153665,0,75921,2023.0,-22.666666666667,14.533333333333
NAM,Namíbia,Q59698,Q153665,0,75921,2023.0,-22.666666666667,14.533333333333
NAM,Namíbia,Q59698,Q648753,0,75921,2023.0,-22.666666666667,14.533333333333
NAM,Namíbia,Q59698,Q648753,0,75921,2023.0,-22.666666666667,14.533333333333
NAM,Namíbia,Q159325,Q573467,0,12537,2011.0,-26.647777777778,15.157777777778
NAM,Namíbia,Q159325,Q573467,0,12537,2011.0,-26.647777777778,15.157777777778
NAM,Namíbia,Q159325,Q573467,0,12537,2011.0,-26.647777777778,15.157777777778
NAM,Namíbia,Q159325,Q1439417,0,12537,2011.0,-26.647777777778,15.157777777778
NAM,Namíbia,Q159325,Q1439417,0,12537,2011.0,-26.647777777778,15.157777777778
