iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
NER,Níger,Q3674,http://www.wikidata.org/entity/Q1032,1,1496260,,13.515,2.1175
NER,Níger,Q13403317,http://www.wikidata.org/entity/Q871083,0,432659,,14.812594444444,5.3828388888889
NER,Níger,Q664550,http://www.wikidata.org/entity/Q912554,0,267249,,13.5,7.1
NER,Níger,Q204365,http://www.wikidata.org/entity/Q134563259,0,235605,,13.8,8.9833333333333
NER,Níger,Q448966,http://www.wikidata.org/entity/Q913289,0,154238,,14.9737,8.8783
NER,Níger,Q398480,http://www.wikidata.org/entity/Q398476,0,152788,,13.5022,7.777
NER,Níger,Q1165854,http://www.wikidata.org/entity/Q15713661,0,147779,,13.9174,1.2431
NER,Níger,Q1003546,http://www.wikidata.org/entity/Q605633,0,142214,,14.46,5.24
NER,Níger,Q806553,http://www.wikidata.org/entity/Q427279,0,140446,,13.67413,6.17546
NER,Níger,Q1784487,http://www.wikidata.org/entity/Q912576,0,140009,,14.0998,6.9012
NER,Níger,Q2041748,http://www.wikidata.org/entity/Q912585,0,137850,,14.07333333,8.13111111
NER,Níger,Q1003540,http://www.wikidata.org/entity/Q766829,0,130707,,12.99826,8.90991
NER,Níger,Q1883198,http://www.wikidata.org/entity/Q427279,0,127254,,14.072777777778,5.96
NER,Níger,Q684925,http://www.wikidata.org/entity/Q912927,0,125806,,13.566111111111,7.0511111111111
NER,Níger,Q1234795,http://www.wikidata.org/entity/Q15713685,0,117975,,13.96361111,5.59083333
NER,Níger,Q877122,http://www.wikidata.org/entity/Q13403317,0,117826,,14.890277777778,5.2641666666667
NER,Níger,Q798805,http://www.wikidata.org/entity/Q605633,0,115491,,14.5245,5.3676
NER,Níger,Q763774,http://www.wikidata.org/entity/Q15713685,0,114432,,13.92706,5.52032
NER,Níger,Q805959,http://www.wikidata.org/entity/Q13403317,0,112962,,14.7172,5.0887
NER,Níger,Q2441559,http://www.wikidata.org/entity/Q912803,0,111490,,14.46055556,2.03138889
