iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
NIU,Niue,Q1962527,,0,56,,-18.965,-169.8815
NIU,Niue,Q2350297,,0,129,,-18.992,-169.9045
NIU,Niue,Q2354077,,0,62,,-19.003,-169.915
NIU,Niue,Q2552363,,0,133,,-18.963680555556,-169.82760555556
NIU,Niue,Q2552943,,0,200,,-19.124727777778,-169.91229166667
NIU,Niue,Q2570188,,0,71,,-19.053879,-169.788465
NIU,Niue,Q2592896,,0,14,,-18.983794444444,-169.89827777778
NIU,Niue,Q2600860,,0,88,,-19.009,-169.807
NIU,Niue,Q2619168,,0,31,,-18.974,-169.854
NIU,Niue,Q2635174,,0,162,,-19.126761111111,-169.84480277778
NIU,Niue,Q3045565,,0,140,,-19.08,-169.92
NIU,Niue,Q3045571,,0,59,,-19.129911111111,-169.88428333333
NIU,Niue,Q30966,http://www.wikidata.org/entity/Q34020,1,597,,-19.056,-169.921
