iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
NPL,Nepal,Q3037,Q797472,1,845767,2021.0,27.71,85.32
NPL,Nepal,Q6647,Q1108338,0,513200,2020.0,27.6833,85.3333
NPL,Nepal,Q250220,Q28583,0,369377,2021.0,27.683333333333,84.433333333333
NPL,Nepal,Q6640,Q28436,0,353841,2017.0,28.209722222222,83.985277777778
NPL,Nepal,Q8247,Q28083,0,242548,2011.0,26.483333333333,87.283333333333
NPL,Nepal,Q1447290,Q28066,0,156164,2011.0,28.040833333333,82.486111111111
NPL,Nepal,Q8252,Q28625,0,135904,,27.0,84.866666666667
NPL,Nepal,Q11283,Q28438,0,118462,,27.7,83.45
NPL,Nepal,Q8254,Q28157,0,116181,,26.816666666667,87.266666666667
NPL,Nepal,Q20809757,Q797472,0,107351,2011.0,27.73333333,85.4
NPL,Nepal,Q1447167,Q28981,0,104599,2011.0,28.916666666667,80.333333333333
NPL,Nepal,Q1457919,Q28582,0,102725,2021.0,26.7919,86.699
NPL,Nepal,Q1446993,Q28153,0,101970,2011.0,28.705555555556,80.575
NPL,Nepal,Q378649,Q29036,0,97776,2011.0,26.712222222222,85.921666666667
NPL,Nepal,Q11285,Q28174,0,84671,2011.0,27.416666666667,85.033333333333
NPL,Nepal,Q1457909,Q28451,0,83036,2011.0,27.680555555556,85.3875
NPL,Nepal,Q3420046,Q837,0,82843,1991.0,26.69,87.16
NPL,Nepal,Q843138,Q28451,0,81748,2011.0,27.672222222222,85.427777777778
NPL,Nepal,Q7238339,Q28153,0,78018,2011.0,28.91,80.59
NPL,Nepal,Q1458001,Q28160,0,75102,2011.0,26.63,87.7
