iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
NZL,Nova Zelândia,Q37100,http://www.wikidata.org/entity/Q726917,0,1470100,,-36.849166666667,174.76527777778
NZL,Nova Zelândia,Q79990,http://www.wikidata.org/entity/Q32159699,0,383200,,-43.531111111111,172.63611111111
NZL,Nova Zelândia,Q23661,http://www.wikidata.org/entity/Q47037646,1,216200,,-41.288888888889,174.77722222222
NZL,Nova Zelândia,Q200028,http://www.wikidata.org/entity/Q32215385,0,176500,,-37.783333333333,175.28333333333
NZL,Nova Zelândia,Q207756,http://www.wikidata.org/entity/Q49109427,0,151300,,-37.685833333333,176.16666666667
NZL,Nova Zelândia,Q1015681,http://www.wikidata.org/entity/Q32249141,0,110700,,-41.216666666667,174.91666666667
NZL,Nova Zelândia,Q133073,http://www.wikidata.org/entity/Q32188005,0,106200,,-45.874166666667,170.50361111111
NZL,Nova Zelândia,Q66269909,http://www.wikidata.org/entity/Q726917,0,96913,,-36.906322,174.741212
NZL,Nova Zelândia,Q212289,http://www.wikidata.org/entity/Q49107530,0,81500,,-40.354911,175.609511
NZL,Nova Zelândia,Q203380,http://www.wikidata.org/entity/Q32293725,0,66300,,-39.490277777778,176.91777777778
NZL,Nova Zelândia,Q3010697,http://www.wikidata.org/entity/Q726917,0,59800,,-36.6058,174.6978
NZL,Nova Zelândia,Q1015773,http://www.wikidata.org/entity/Q856010,0,59600,,-41.133333333333,174.85
NZL,Nova Zelândia,Q208948,http://www.wikidata.org/entity/Q15059492,0,58500,,-38.137777777778,176.25138888889
NZL,Nova Zelândia,Q212984,http://www.wikidata.org/entity/Q4846747,0,57600,,-39.057777777778,174.07416666667
NZL,Nova Zelândia,Q744239,http://www.wikidata.org/entity/Q3696415,0,54400,,-35.725,174.32361111111
NZL,Nova Zelândia,Q206687,http://www.wikidata.org/entity/Q32294447,0,51100,,-41.293056,173.238056
NZL,Nova Zelândia,Q31805,http://www.wikidata.org/entity/Q32227864,0,50200,,-46.429,168.362
NZL,Nova Zelândia,Q1015690,http://www.wikidata.org/entity/Q26772450,0,49000,,-39.65,176.83333333333
NZL,Nova Zelândia,Q166002,http://www.wikidata.org/entity/Q49109787,0,44300,,-41.133333333333,175.05
NZL,Nova Zelândia,Q1015672,http://www.wikidata.org/entity/Q10856931,0,42200,,-39.9325,175.05194444444
