iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
PER,Peru,Q105037,http://www.wikidata.org/entity/Q2634400,0,567702,,-12.052222222222,-77.139166666667
PER,Peru,Q117625,http://www.wikidata.org/entity/Q200938,0,62903,,-5.9,-76.083333333333
PER,Peru,Q159273,http://www.wikidata.org/entity/Q601118,0,1008290,,-16.398888888889,-71.536944444444
PER,Peru,Q193289,http://www.wikidata.org/entity/Q1779677,0,377609,,-3.7333333333333,-73.25
PER,Peru,Q205119,http://www.wikidata.org/entity/Q205078,0,283767,,-7.1575,-78.5175
PER,Peru,Q214173,http://www.wikidata.org/entity/Q205126,0,1148668,,-8.1119444444444,-79.028888888889
PER,Peru,Q215238,http://www.wikidata.org/entity/Q208185,0,72277,,-13.633333333333,-72.883333333333
PER,Peru,Q217071,http://www.wikidata.org/entity/Q579906,0,326040,,-8.3833333333333,-74.55
PER,Peru,Q223966,http://www.wikidata.org/entity/Q676572,0,473025,,-5.2008333333333,-80.625277777778
PER,Peru,Q232842,http://www.wikidata.org/entity/Q2084681,0,128637,,-15.843333333333,-70.023611111111
PER,Peru,Q260911,http://www.wikidata.org/entity/Q210061,0,552508,,-6.7716666666667,-79.838333333333
PER,Peru,Q272795,http://www.wikidata.org/entity/Q3312467,0,286240,,-18.055555555556,-70.248333333333
PER,Peru,Q285672,http://www.wikidata.org/entity/Q211793,0,64126,,-6.0333333333333,-76.966666666667
PER,Peru,Q290504,http://www.wikidata.org/entity/Q1366050,0,109965,,-13.709980555556,-76.203205555556
PER,Peru,Q468782,http://www.wikidata.org/entity/Q6319902,0,450900,,-12.066666666667,-75.216666666667
PER,Peru,Q489660,http://www.wikidata.org/entity/Q2718496,0,80000,,-13.6575,-73.38333333
PER,Peru,Q504215,http://www.wikidata.org/entity/Q1784857,0,216444,,-13.163055555556,-74.224444444444
PER,Peru,Q504394,http://www.wikidata.org/entity/Q215221,0,196627,,-9.9294444444444,-76.239722222222
PER,Peru,Q510413,http://www.wikidata.org/entity/Q612923,0,162434,,-4.9038888888889,-80.685277777778
PER,Peru,Q518431,http://www.wikidata.org/entity/Q205089,0,395100,,-9.0745444444444,-78.593572222222
PER,Peru,Q840712,http://www.wikidata.org/entity/Q3824339,0,282407,,-14.066666666667,-75.733333333333
PER,Peru,Q529807,http://www.wikidata.org/entity/Q6949621,0,10547,,-4.10722222,-81.04722222
PER,Peru,Q541435,http://www.wikidata.org/entity/Q1999122,0,85024,,-12.6,-69.183333333333
PER,Peru,Q674320,http://www.wikidata.org/entity/Q211208,0,61046,,-10.686388888889,-76.2625
PER,Peru,Q696074,http://www.wikidata.org/entity/Q3824849,0,307417,,-15.490833333333,-70.126944444444
PER,Peru,Q723584,http://www.wikidata.org/entity/Q2287241,0,99600,,-4.5833333333333,-81.266666666667
PER,Peru,Q723677,http://www.wikidata.org/entity/Q1632864,0,79011,,-11.50076008,-77.20906067
PER,Peru,Q757133,http://www.wikidata.org/entity/Q201162,0,32026,,-6.23,-77.87
PER,Peru,Q768086,http://www.wikidata.org/entity/Q210061,0,58276,,-6.7,-79.9
PER,Peru,Q792713,http://www.wikidata.org/entity/Q208183,0,5985,,-4.640071,-79.715225
PER,Peru,Q793765,http://www.wikidata.org/entity/Q201162,0,37300,,-5.75722222,-78.44527778
PER,Peru,Q793809,http://www.wikidata.org/entity/Q205089,0,118836,,-9.5333333333333,-77.533333333333
PER,Peru,Q827640,http://www.wikidata.org/entity/Q2039785,0,96946,,-3.5708333333333,-80.459722222222
PER,Peru,Q917434,http://www.wikidata.org/entity/Q922867,0,27560,,-11.775,-75.5
PER,Peru,Q919678,http://www.wikidata.org/entity/Q2698719,0,8000,,-9.13888889,-77.74444444
PER,Peru,Q927933,http://www.wikidata.org/entity/Q588491,0,240453,,-6.4833333333333,-76.366666666667
