iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
PSE,Territórios palestinos,Q74176,Q181636,0,0,2023.0,31.538611111111,34.537222222222
PSE,Territórios palestinos,Q74176,Q181636,0,0,2023.0,31.538611111111,34.537222222222
PSE,Territórios palestinos,Q74176,Q181636,0,32187,2006.0,31.538611111111,34.537222222222
PSE,Territórios palestinos,Q74176,Q181636,0,32187,2006.0,31.538611111111,34.537222222222
PSE,Territórios palestinos,Q136690,Q519311,0,4555,2016.0,32.385341666667,35.323172222222
PSE,Territórios palestinos,Q136690,Q519311,0,1474,1961.0,32.385341666667,35.323172222222
PSE,Territórios palestinos,Q136690,Q519311,0,4555,2016.0,32.385341666667,35.323172222222
PSE,Territórios palestinos,Q136690,Q519311,0,1474,1961.0,32.385341666667,35.323172222222
PSE,Territórios palestinos,Q136690,Q519311,0,4555,2016.0,32.385341666667,35.323172222222
PSE,Territórios palestinos,Q136690,Q519311,0,4555,2016.0,32.385341666667,35.323172222222
PSE,Territórios palestinos,Q136690,Q519311,0,1474,1961.0,32.385341666667,35.323172222222
PSE,Territórios palestinos,Q136690,Q519311,0,1474,1961.0,32.385341666667,35.323172222222
PSE,Territórios palestinos,Q136690,Q519311,0,4555,2016.0,32.385341666667,35.323172222222
PSE,Territórios palestinos,Q136690,Q519311,0,4555,2016.0,32.385341666667,35.323172222222
PSE,Territórios palestinos,Q136690,Q519311,0,1474,1961.0,32.385341666667,35.323172222222
PSE,Territórios palestinos,Q136690,Q519311,0,1474,1961.0,32.385341666667,35.323172222222
PSE,Territórios palestinos,Q158119,Q1093166,1,43880,2024.0,31.896944444444,35.201666666667
PSE,Territórios palestinos,Q158119,Q1093166,1,43880,2024.0,31.896944444444,35.201666666667
PSE,Territórios palestinos,Q158119,Q1093166,0,43880,2024.0,31.896944444444,35.201666666667
PSE,Territórios palestinos,Q158119,Q1093166,0,43880,2024.0,31.896944444444,35.201666666667
PSE,Territórios palestinos,Q158119,Q1093166,0,43880,2024.0,31.896944444444,35.201666666667
PSE,Territórios palestinos,Q158119,Q1093166,0,43880,2024.0,31.896944444444,35.201666666667
PSE,Territórios palestinos,Q158119,Q1093166,1,43880,2024.0,31.896944444444,35.201666666667
PSE,Territórios palestinos,Q158119,Q1093166,1,43880,2024.0,31.896944444444,35.201666666667
PSE,Territórios palestinos,Q168140,Q513200,0,76374,2019.0,31.933276,35.0428924
PSE,Territórios palestinos,Q168140,Q513200,0,76374,2019.0,31.933276,35.0428924
PSE,Territórios palestinos,Q168140,Q1093166,0,76374,2019.0,31.933276,35.0428924
PSE,Territórios palestinos,Q168140,Q1093166,0,76374,2019.0,31.933276,35.0428924
PSE,Territórios palestinos,Q168140,Q6974492,0,76374,2019.0,31.933276,35.0428924
PSE,Territórios palestinos,Q168140,Q6974492,0,76374,2019.0,31.933276,35.0428924
PSE,Territórios palestinos,Q168140,Q513200,0,76374,2019.0,31.933276,35.0428924
PSE,Territórios palestinos,Q168140,Q513200,0,76374,2019.0,31.933276,35.0428924
PSE,Territórios palestinos,Q168140,Q1093166,0,76374,2019.0,31.933276,35.0428924
PSE,Territórios palestinos,Q168140,Q1093166,0,76374,2019.0,31.933276,35.0428924
PSE,Territórios palestinos,Q168140,Q6974492,0,76374,2019.0,31.933276,35.0428924
PSE,Territórios palestinos,Q168140,Q6974492,0,76374,2019.0,31.933276,35.0428924
PSE,Territórios palestinos,Q168140,Q513200,0,76374,2019.0,31.933276,35.0428924
PSE,Territórios palestinos,Q168140,Q513200,0,76374,2019.0,31.933276,35.0428924
PSE,Territórios palestinos,Q168140,Q1093166,0,76374,2019.0,31.933276,35.0428924
PSE,Territórios palestinos,Q168140,Q1093166,0,76374,2019.0,31.933276,35.0428924
PSE,Territórios palestinos,Q168140,Q6974492,0,76374,2019.0,31.933276,35.0428924
PSE,Territórios palestinos,Q168140,Q6974492,0,76374,2019.0,31.933276,35.0428924
PSE,Territórios palestinos,Q168225,Q36678,0,215452,2016.0,31.535,35.098611111111
PSE,Territórios palestinos,Q168225,Q36678,0,215452,2016.0,31.535,35.098611111111
PSE,Territórios palestinos,Q168225,Q264180,0,215452,2016.0,31.535,35.098611111111
PSE,Territórios palestinos,Q168225,Q264180,0,215452,2016.0,31.535,35.098611111111
PSE,Territórios palestinos,Q168225,Q36678,0,215452,2016.0,31.535,35.098611111111
PSE,Territórios palestinos,Q168225,Q264180,0,215452,2016.0,31.535,35.098611111111
PSE,Territórios palestinos,Q168225,Q36678,0,215452,2016.0,31.535,35.098611111111
PSE,Territórios palestinos,Q168225,Q264180,0,215452,2016.0,31.535,35.098611111111
PSE,Territórios palestinos,Q169310,Q513200,0,20540,2019.0,32.106111111111,35.187777777778
PSE,Territórios palestinos,Q169310,Q513200,0,20540,2019.0,32.106111111111,35.187777777778
PSE,Territórios palestinos,Q169310,Q926530,0,20540,2019.0,32.106111111111,35.187777777778
PSE,Territórios palestinos,Q169310,Q926530,0,20540,2019.0,32.106111111111,35.187777777778
PSE,Territórios palestinos,Q169310,Q6974492,0,20540,2019.0,32.106111111111,35.187777777778
PSE,Territórios palestinos,Q169310,Q6974492,0,20540,2019.0,32.106111111111,35.187777777778
PSE,Territórios palestinos,Q169310,Q513200,0,20540,2019.0,32.106111111111,35.187777777778
PSE,Territórios palestinos,Q169310,Q513200,0,20540,2019.0,32.106111111111,35.187777777778
PSE,Territórios palestinos,Q169310,Q926530,0,20540,2019.0,32.106111111111,35.187777777778
PSE,Territórios palestinos,Q169310,Q926530,0,20540,2019.0,32.106111111111,35.187777777778
PSE,Territórios palestinos,Q169310,Q6974492,0,20540,2019.0,32.106111111111,35.187777777778
PSE,Territórios palestinos,Q169310,Q6974492,0,20540,2019.0,32.106111111111,35.187777777778
PSE,Territórios palestinos,Q169310,Q513200,0,20540,2019.0,32.106111111111,35.187777777778
PSE,Territórios palestinos,Q169310,Q513200,0,20540,2019.0,32.106111111111,35.187777777778
PSE,Territórios palestinos,Q169310,Q926530,0,20540,2019.0,32.106111111111,35.187777777778
PSE,Territórios palestinos,Q169310,Q926530,0,20540,2019.0,32.106111111111,35.187777777778
PSE,Territórios palestinos,Q169310,Q6974492,0,20540,2019.0,32.106111111111,35.187777777778
PSE,Territórios palestinos,Q169310,Q6974492,0,20540,2019.0,32.106111111111,35.187777777778
PSE,Territórios palestinos,Q172343,Q1074341,0,132533,2010.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,147618,2013.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,142427,2012.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,128150,2009.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,119895,2007.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,158414,2015.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,152950,2014.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,152950,2014.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,152950,2014.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,137385,2011.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,137385,2011.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,137385,2011.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,171889,2017.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,171889,2017.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,171889,2017.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,164000,2016.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,164000,2016.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,164000,2016.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,123936,2008.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,123936,2008.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,123936,2008.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,132533,2010.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,132533,2010.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,132533,2010.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,147618,2013.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,147618,2013.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,147618,2013.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,142427,2012.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,142427,2012.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,142427,2012.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,128150,2009.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,128150,2009.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,128150,2009.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,119895,2007.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,119895,2007.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,119895,2007.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,158414,2015.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,158414,2015.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,158414,2015.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,152950,2014.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,152950,2014.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,137385,2011.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,137385,2011.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,171889,2017.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,171889,2017.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,164000,2016.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,164000,2016.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,123936,2008.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,123936,2008.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,132533,2010.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,147618,2013.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,142427,2012.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,128150,2009.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,128150,2009.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,128150,2009.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,119895,2007.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,119895,2007.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,119895,2007.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,158414,2015.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,158414,2015.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,158414,2015.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,152950,2014.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,152950,2014.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,152950,2014.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,137385,2011.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,137385,2011.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,137385,2011.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,171889,2017.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,171889,2017.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,171889,2017.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,164000,2016.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,164000,2016.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,164000,2016.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,123936,2008.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,123936,2008.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,123936,2008.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,132533,2010.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,132533,2010.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,132533,2010.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,147618,2013.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,147618,2013.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,147618,2013.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,142427,2012.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,142427,2012.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,142427,2012.0,31.288611111111,34.251944444444
PSE,Territórios palestinos,Q172343,Q1074341,0,128150,2009.0,31.288611111111,34.251944444444
