iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
ROU,Romênia,Q75498,Q12725224,0,1731,2011,45.340214,22.00097
ROU,Romênia,Q75498,Q12725224,0,1495,2021,45.340214,22.00097
ROU,Romênia,Q75498,Q12725224,0,1731,2011,45.340214,22.00097
ROU,Romênia,Q75498,Q12725224,0,1495,2021,45.340214,22.00097
ROU,Romênia,Q75496,Q12085529,0,654,2021,45.3,22.26666667
ROU,Romênia,Q75496,Q12085529,0,741,2011,45.3,22.26666667
ROU,Romênia,Q75496,Q12085529,0,654,2021,45.3,22.26666667
ROU,Romênia,Q75496,Q12085529,0,741,2011,45.3,22.26666667
ROU,Romênia,Q75500,Q12109525,0,2662,2011,47.9,23.3
ROU,Romênia,Q75500,Q12109525,0,2767,2021,47.9,23.3
ROU,Romênia,Q75500,Q12109525,0,2662,2011,47.9,23.3
ROU,Romênia,Q75500,Q12109525,0,2767,2021,47.9,23.3
ROU,Romênia,Q75500,Q12109525,0,2662,2011,47.908333333333,23.292222222222
ROU,Romênia,Q75500,Q12109525,0,2767,2021,47.908333333333,23.292222222222
ROU,Romênia,Q75500,Q12109525,0,2662,2011,47.908333333333,23.292222222222
ROU,Romênia,Q75500,Q12109525,0,2767,2021,47.908333333333,23.292222222222
ROU,Romênia,Q75506,Q16426050,0,285,2011,44.817876,21.861204
ROU,Romênia,Q75506,Q16426050,0,262,2021,44.817876,21.861204
ROU,Romênia,Q75506,Q16426050,0,285,2011,44.817876,21.861204
ROU,Romênia,Q75506,Q16426050,0,262,2021,44.817876,21.861204
ROU,Romênia,Q75504,Q187925,0,20731,1977,45.374722222222,21.710555555556
ROU,Romênia,Q75504,Q187925,0,16911,2002,45.374722222222,21.710555555556
ROU,Romênia,Q75504,Q187925,0,19152,1992,45.374722222222,21.710555555556
ROU,Romênia,Q75504,Q187925,0,16015,1966,45.374722222222,21.710555555556
ROU,Romênia,Q75504,Q187925,0,12949,2021,45.374722222222,21.710555555556
ROU,Romênia,Q75504,Q187925,0,15842,2011,45.374722222222,21.710555555556
ROU,Romênia,Q75504,Q187925,0,20731,1977,45.374722222222,21.710555555556
ROU,Romênia,Q75504,Q187925,0,16911,2002,45.374722222222,21.710555555556
ROU,Romênia,Q75504,Q187925,0,19152,1992,45.374722222222,21.710555555556
ROU,Romênia,Q75504,Q187925,0,16015,1966,45.374722222222,21.710555555556
ROU,Romênia,Q75504,Q187925,0,12949,2021,45.374722222222,21.710555555556
ROU,Romênia,Q75504,Q187925,0,15842,2011,45.374722222222,21.710555555556
ROU,Romênia,Q75509,Q12724924,0,1072,2011,45.5,22.516666666667
ROU,Romênia,Q75509,Q12724924,0,835,2021,45.5,22.516666666667
ROU,Romênia,Q75509,Q12724924,0,1072,2011,45.5,22.516666666667
ROU,Romênia,Q75509,Q12724924,0,835,2021,45.5,22.516666666667
ROU,Romênia,Q75513,Q12173234,0,688,2021,44.950277777778,22.314166666667
ROU,Romênia,Q75513,Q12173234,0,816,2011,44.950277777778,22.314166666667
ROU,Romênia,Q75513,Q12173234,0,688,2021,44.950277777778,22.314166666667
ROU,Romênia,Q75513,Q12173234,0,816,2011,44.950277777778,22.314166666667
ROU,Romênia,Q75519,Q5064821,0,858,2021,44.863988,21.958543
ROU,Romênia,Q75519,Q5064821,0,937,2011,44.863988,21.958543
ROU,Romênia,Q75519,Q5064821,0,858,2021,44.863988,21.958543
ROU,Romênia,Q75519,Q5064821,0,937,2011,44.863988,21.958543
ROU,Romênia,Q75522,Q5064736,0,1199,2021,45.51666667,22.56666667
ROU,Romênia,Q75522,Q5064736,0,1356,2011,45.51666667,22.56666667
ROU,Romênia,Q75522,Q5064736,0,1199,2021,45.51666667,22.56666667
ROU,Romênia,Q75522,Q5064736,0,1356,2011,45.51666667,22.56666667
ROU,Romênia,Q75526,Q5065898,0,467,2011,45.35,22.3
ROU,Romênia,Q75526,Q5065898,0,440,2021,45.35,22.3
ROU,Romênia,Q75526,Q5065898,0,467,2011,45.35,22.3
ROU,Romênia,Q75526,Q5065898,0,440,2021,45.35,22.3
ROU,Romênia,Q75530,Q12724823,0,1072,2011,45.118611111111,21.598888888889
ROU,Romênia,Q75530,Q12724823,0,933,2021,45.118611111111,21.598888888889
ROU,Romênia,Q75530,Q12724823,0,1072,2011,45.118611111111,21.598888888889
ROU,Romênia,Q75530,Q12724823,0,933,2021,45.118611111111,21.598888888889
ROU,Romênia,Q75528,Q12724764,0,796,2021,45.41666667,21.88333333
ROU,Romênia,Q75528,Q12724764,0,615,2011,45.41666667,21.88333333
ROU,Romênia,Q75528,Q12724764,0,796,2021,45.41666667,21.88333333
ROU,Romênia,Q75528,Q12724764,0,615,2011,45.41666667,21.88333333
ROU,Romênia,Q75534,Q5065521,0,282,2021,44.98333333,21.46666667
ROU,Romênia,Q75534,Q5065521,0,375,2011,44.98333333,21.46666667
ROU,Romênia,Q75534,Q5065521,0,282,2021,44.98333333,21.46666667
ROU,Romênia,Q75534,Q5065521,0,375,2011,44.98333333,21.46666667
ROU,Romênia,Q75537,Q187925,0,10510,2011,45.533333333333,22.366666666667
ROU,Romênia,Q75537,Q187925,0,8568,1966,45.533333333333,22.366666666667
