iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
RUS,Rússia,Q649,Q159,1,9783242,1999,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,9783242,1999,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,12506468,2018,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,12506468,2018,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,8111000,1982,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,8111000,1982,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,10114203,2001,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,10114203,2001,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,9067808,1992,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,9067808,1992,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,462500,1863,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,462500,1863,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,161000,1775,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,161000,1775,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,12615882,2019,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,12615882,2019,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,4839000,1956,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,4839000,1956,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,10386903,2003,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,10386903,2003,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,7830509,1979,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,7830509,1979,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,373800,1852,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,373800,1852,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,9066025,1993,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,9066025,1993,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,2080000,1926,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,2080000,1926,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,9066612,1994,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,9066612,1994,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,1617157,1912,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,1617157,1912,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,10923762,2006,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,10923762,2006,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,8652000,1985,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,8652000,1985,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,215000,1813,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,215000,1813,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,12380664,2017,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,12380664,2017,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,241500,1825,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,241500,1825,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,11281631,2009,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,11281631,2009,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,1359200,1908,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,1359200,1908,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,9017415,1991,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,9017415,1991,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,9932932,2000,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,9932932,2000,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,250000,1800,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,250000,1800,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,305600,1830,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,305600,1830,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,188700,1785,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,188700,1785,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,1175000,1900,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,1175000,1900,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,12692466,2020,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,12692466,2020,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,12500123,2018,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,12500123,2018,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,138400,1738,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,138400,1738,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,7255000,1973,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,7255000,1973,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,1174700,1902,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,1174700,1902,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,12506468,2018,55.750555555556,37.6175
RUS,Rússia,Q649,Q159,1,8111000,1982,55.750555555556,37.6175
