iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
RWA,Ruanda,Q3859,Q167196,1,1156663,2019.0,-1.9536111111111,30.060555555556
RWA,Ruanda,Q668180,Q590743,0,319141,2012.0,-2.0783333333333,29.758055555556
RWA,Ruanda,Q246145,Q845807,0,153368,2022.0,-1.4944444444444,29.641666666667
RWA,Ruanda,Q10289963,Q2424659,0,75611,2022.0,-1.92,30.061666666667
RWA,Ruanda,Q830631,Q737354,0,53603,2012.0,-1.6927777777778,29.25
RWA,Ruanda,Q3453668,Q167196,0,50000,,-1.8175,30.059166666667
RWA,Ruanda,Q6404086,Q3408373,0,43582,2002.0,-2.1583333333333,30.545833333333
RWA,Ruanda,Q15045858,Q2424738,0,42305,2022.0,-1.7013888888889,29.325
RWA,Ruanda,Q3191685,Q167196,0,40202,2012.0,-1.97649,30.2247
RWA,Ruanda,Q391747,Q845807,0,36401,2012.0,-1.5794444444444,30.069444444444
RWA,Ruanda,Q21405762,Q2724056,0,33753,2022.0,-2.1177777777778,30.246388888889
RWA,Ruanda,Q782857,Q737354,0,27416,2012.0,-2.4833333333333,28.896666666667
RWA,Ruanda,Q6937304,Q845807,0,27283,2022.0,-1.8133333333333,30.045555555556
RWA,Ruanda,Q1740795,Q92206118,0,25885,2022.0,-2.6502777777778,29.556666666667
RWA,Ruanda,Q528679,Q853162,0,25417,2012.0,-2.3516666666667,29.750833333333
RWA,Ruanda,Q5003385,Q2424625,0,24721,2022.0,-1.6897222222222,30.015277777778
RWA,Ruanda,Q509739,Q2632827,0,19937,2012.0,-2.6,29.75
RWA,Ruanda,Q246139,Q853152,0,18009,2012.0,-1.9525,30.437777777778
RWA,Ruanda,Q2356928,Q2724056,0,17076,2012.0,-2.1958333333333,30.122222222222
RWA,Ruanda,Q12884189,Q2632806,0,17051,2012.0,-2.2325,29.780277777778
