iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
SDN,Sudão,Q1049,,0,48945000,2025.0,15.0,32.0
SDN,Sudão,Q1963,Q310385,1,6527500,2014.0,15.60308,32.52654
SDN,Sudão,Q180921,Q310385,0,2805396,2012.0,15.683517,32.462887
SDN,Sudão,Q310114,Q310385,0,936349,2012.0,15.633333333333,32.633333333333
SDN,Sudão,Q208718,Q310120,0,579942,2010.0,19.61745,37.21644
SDN,Sudão,Q309475,Q864093,0,560471,2025.0,13.183333333333,30.216666666667
SDN,Sudão,Q686813,Q954963,0,536009,2010.0,15.45,36.4
SDN,Sudão,Q587715,Q311371,0,528458,2010.0,13.166666666667,32.666666666667
SDN,Sudão,Q851576,Q838778,0,492984,2008.0,12.05,24.883333333333
SDN,Sudão,Q311199,Q309478,0,354927,2005.0,14.033333333333,35.383333333333
SDN,Sudão,Q311204,Q688306,0,286277,2009.0,13.626983333333,25.349583333333
SDN,Sudão,Q2329622,Q309489,0,250000,2009.0,10.5563,34.2848
SDN,Sudão,Q311309,Q846331,0,200000,,13.45,22.45
SDN,Sudão,Q311307,Q309489,0,200000,,11.766666666667,34.35
SDN,Sudão,Q136340127,Q9593442,0,190000,2024.0,13.67676,25.34932
SDN,Sudão,Q611867,Q865534,0,143059,2007.0,13.55,33.6
SDN,Sudão,Q753906,Q849297,0,139768,,17.716666666667,33.983333333333
SDN,Sudão,Q15615482,,0,120000,2008.0,11.277,25.142
SDN,Sudão,Q11295161,Q3545641,0,90000,2007.0,12.014,25.002
SDN,Sudão,Q2439710,Q849297,0,50000,,19.5375,33.3275
