iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
SGP,Singapura,Q3249777,Q2091778,0,88120,2023.0,1.35083,103.851
SGP,Singapura,Q3249777,Q2091778,0,88120,2023.0,1.35083,103.851
SGP,Singapura,Q4259064,Q2091255,0,91630,,1.3161805555556,103.76493888889
SGP,Singapura,Q4259064,Q2091255,0,91630,,1.3161805555556,103.76493888889
SGP,Singapura,Q4943564,Q4216846,0,10970,2015.0,1.3155722222222,103.873225
SGP,Singapura,Q4943564,Q4216846,0,10970,2015.0,1.3155722222222,103.873225
SGP,Singapura,Q4986926,Q2091778,0,151870,2018.0,1.2819055555556,103.82391944444
SGP,Singapura,Q4986926,Q2091778,0,151870,2018.0,1.2819055555556,103.82391944444
SGP,Singapura,Q4986926,Q2091778,0,151870,2018.0,1.2819055555556,103.82391944444
SGP,Singapura,Q4986926,Q2091778,0,151870,2018.0,1.2819055555556,103.82391944444
SGP,Singapura,Q4986926,Q2091778,0,151870,2018.0,1.2819055555556,103.82391944444
SGP,Singapura,Q4986926,Q2091778,0,151870,2018.0,1.2819055555556,103.82391944444
SGP,Singapura,Q7699745,Q2091255,0,10,,1.362434,103.731853
SGP,Singapura,Q7699745,Q2091255,0,10,,1.362434,103.731853
SGP,Singapura,Q334,,1,2012000,1968.0,1.3,103.8
SGP,Singapura,Q334,,1,1127000,1952.0,1.3,103.8
SGP,Singapura,Q334,,1,1977600,1967.0,1.3,103.8
SGP,Singapura,Q334,,1,3419048,1994.0,1.3,103.8
SGP,Singapura,Q334,,1,1841600,1964.0,1.3,103.8
SGP,Singapura,Q334,,1,5312437,2012.0,1.3,103.8
SGP,Singapura,Q334,,1,3670704,1996.0,1.3,103.8
SGP,Singapura,Q334,,1,2774789,1987.0,1.3,103.8
SGP,Singapura,Q334,,1,2383500,1979.0,1.3,103.8
SGP,Singapura,Q334,,1,2532835,1981.0,1.3,103.8
SGP,Singapura,Q334,,1,1646400,1960.0,1.3,103.8
SGP,Singapura,Q334,,1,2193000,1973.0,1.3,103.8
SGP,Singapura,Q334,,1,3958723,1999.0,1.3,103.8
SGP,Singapura,Q334,,1,2646466,1982.0,1.3,103.8
SGP,Singapura,Q334,,1,2112900,1971.0,1.3,103.8
SGP,Singapura,Q334,,1,4839396,2008.0,1.3,103.8
SGP,Singapura,Q334,,1,1587200,1959.0,1.3,103.8
SGP,Singapura,Q334,,1,5638676,2018.0,1.3,103.8
SGP,Singapura,Q334,,1,1518800,1958.0,1.3,103.8
SGP,Singapura,Q334,,1,1750200,1962.0,1.3,103.8
SGP,Singapura,Q334,,1,1068100,1951.0,1.3,103.8
SGP,Singapura,Q334,,1,5612253,2017.0,1.3,103.8
SGP,Singapura,Q334,,1,1022100,1950.0,1.3,103.8
SGP,Singapura,Q334,,1,5399162,2013.0,1.3,103.8
SGP,Singapura,Q334,,1,1305500,1955.0,1.3,103.8
SGP,Singapura,Q334,,1,1934400,1966.0,1.3,103.8
SGP,Singapura,Q334,,1,2325300,1977.0,1.3,103.8
SGP,Singapura,Q334,,1,2732221,1984.0,1.3,103.8
SGP,Singapura,Q334,,1,2413945,1980.0,1.3,103.8
SGP,Singapura,Q334,,1,4987573,2009.0,1.3,103.8
SGP,Singapura,Q334,,1,4987573,2009.0,1.3,103.8
SGP,Singapura,Q334,,1,5685807,2020.0,1.3,103.8
SGP,Singapura,Q334,,1,5685807,2020.0,1.3,103.8
SGP,Singapura,Q334,,1,2846108,1988.0,1.3,103.8
SGP,Singapura,Q334,,1,2846108,1988.0,1.3,103.8
SGP,Singapura,Q334,,1,2074507,1970.0,1.3,103.8
SGP,Singapura,Q334,,1,2074507,1970.0,1.3,103.8
SGP,Singapura,Q334,,1,1795000,1963.0,1.3,103.8
SGP,Singapura,Q334,,1,1795000,1963.0,1.3,103.8
SGP,Singapura,Q334,,1,5781728,2016.0,1.3,103.8
SGP,Singapura,Q334,,1,5781728,2016.0,1.3,103.8
SGP,Singapura,Q334,,1,1445929,1957.0,1.3,103.8
SGP,Singapura,Q334,,1,1445929,1957.0,1.3,103.8
SGP,Singapura,Q334,,1,3524506,1995.0,1.3,103.8
SGP,Singapura,Q334,,1,3524506,1995.0,1.3,103.8
SGP,Singapura,Q334,,1,4114826,2003.0,1.3,103.8
SGP,Singapura,Q334,,1,4114826,2003.0,1.3,103.8
SGP,Singapura,Q334,,1,2735957,1985.0,1.3,103.8
SGP,Singapura,Q334,,1,2735957,1985.0,1.3,103.8
SGP,Singapura,Q334,,1,3313471,1993.0,1.3,103.8
SGP,Singapura,Q334,,1,3313471,1993.0,1.3,103.8
SGP,Singapura,Q334,,1,4401365,2006.0,1.3,103.8
SGP,Singapura,Q334,,1,4401365,2006.0,1.3,103.8
SGP,Singapura,Q334,,1,5399200,2013.0,1.3,103.8
SGP,Singapura,Q334,,1,5399200,2013.0,1.3,103.8
SGP,Singapura,Q334,,1,1191800,1953.0,1.3,103.8
SGP,Singapura,Q334,,1,1191800,1953.0,1.3,103.8
SGP,Singapura,Q334,,1,2733373,1986.0,1.3,103.8
SGP,Singapura,Q334,,1,2733373,1986.0,1.3,103.8
SGP,Singapura,Q334,,1,4138012,2001.0,1.3,103.8
SGP,Singapura,Q334,,1,4138012,2001.0,1.3,103.8
SGP,Singapura,Q334,,1,2042500,1969.0,1.3,103.8
SGP,Singapura,Q334,,1,2042500,1969.0,1.3,103.8
SGP,Singapura,Q334,,1,3796038,1997.0,1.3,103.8
SGP,Singapura,Q334,,1,3796038,1997.0,1.3,103.8
