iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
TGO,Togo,Q3792,http://www.wikidata.org/entity/Q3910168,1,2188376.0,,6.13,1.2158333333333
TGO,Togo,Q126124,http://www.wikidata.org/entity/Q2076410,0,98193.0,,7.5269444444444,1.1266666666667
TGO,Togo,Q201342,http://www.wikidata.org/entity/Q316216,0,27132.0,,9.7666666666667,1.1
TGO,Togo,Q550978,http://www.wikidata.org/entity/Q316306,0,61068.0,,7.76111111,1.19166667
TGO,Togo,Q618060,http://www.wikidata.org/entity/Q3910155,0,23627.0,,9.35,1.26666667
TGO,Togo,Q810474,http://www.wikidata.org/entity/Q3910159,0,33156.0,,9.25,0.78333333333333
TGO,Togo,Q845097,http://www.wikidata.org/entity/Q316220,0,115442.0,,8.9833333333333,1.1333333333333
TGO,Togo,Q860729,http://www.wikidata.org/entity/Q316216,0,158090.0,,9.5488888888889,1.1905555555556
TGO,Togo,Q938589,http://www.wikidata.org/entity/Q15075944,0,10915.0,,8.3166666666667,0.98333333333333
TGO,Togo,Q970904,http://www.wikidata.org/entity/Q685622,0,117675.0,,10.866666666667,0.2
TGO,Togo,Q995413,http://www.wikidata.org/entity/Q316306,0,87478.0,,6.91,0.62805555555556
TGO,Togo,Q1018574,http://www.wikidata.org/entity/Q316291,0,28238.0,,6.2288888888889,1.5930555555556
TGO,Togo,Q1120978,http://www.wikidata.org/entity/Q316220,0,32464.0,,8.566667,0.983333
TGO,Togo,Q1392195,http://www.wikidata.org/entity/Q279945,0,34791.0,,10.355555555556,0.47555555555556
TGO,Togo,Q2060202,http://www.wikidata.org/entity/Q316291,0,76861.0,,6.4333333333333,1.2166666666667
TGO,Togo,Q2080085,http://www.wikidata.org/entity/Q316306,0,7996.0,,7.4605555555556,0.90305555555556
TGO,Togo,Q2528080,http://www.wikidata.org/entity/Q635775,0,36961.0,,6.5833333333333,1.5
TGO,Togo,Q2711981,http://www.wikidata.org/entity/Q12264843,0,36173.0,,9.0333333333333,1.4166666666667
TGO,Togo,Q2740491,http://www.wikidata.org/entity/Q316291,0,24983.0,,6.3333333333333,1.5333333333333
TGO,Togo,Q2827102,http://www.wikidata.org/entity/Q945,0,4554.0,,7.4669444444444,1.9169444444444
TGO,Togo,Q2878806,http://www.wikidata.org/entity/Q316306,0,11503.0,,7.584327,0.606651
TGO,Togo,Q2972817,http://www.wikidata.org/entity/Q3910163,0,56830.0,,11.1001,0.0173
TGO,Togo,Q3015805,http://www.wikidata.org/entity/Q316306,0,6671.0,,7.25,0.95
TGO,Togo,Q3095099,http://www.wikidata.org/entity/Q279945,0,16346.0,,10.3257,0.749044
TGO,Togo,Q3122451,http://www.wikidata.org/entity/Q316216,0,20047.0,,9.683333,0.6
TGO,Togo,Q3173182,http://www.wikidata.org/entity/Q316306,0,49143.0,,6.9483333333333,1.1680555555556
TGO,Togo,Q3201171,http://www.wikidata.org/entity/Q316291,0,5189.0,,6.4278111111111,0.92448055555556
TGO,Togo,Q3285554,http://www.wikidata.org/entity/Q3408882,0,7732.0,,10.847468,0.816593
TGO,Togo,Q3360475,http://www.wikidata.org/entity/Q316216,0,7450.0,,9.75,1.316667
TGO,Togo,Q3515017,http://www.wikidata.org/entity/Q3408895,0,3086.0,,10.65583333,0.195
TGO,Togo,Q3530396,http://www.wikidata.org/entity/Q945,0,8536.0,,7.023,1.615
TGO,Togo,Q7690669,http://www.wikidata.org/entity/Q385600,0,708.0,,9.9,1.1333333333333
TGO,Togo,Q30744809,http://www.wikidata.org/entity/Q3910174,0,13046.0,,6.4939168,1.6339159
TGO,Togo,Q38298753,http://www.wikidata.org/entity/Q316220,0,8113.0,,8.77,0.56
TGO,Togo,Q117326425,http://www.wikidata.org/entity/Q117829544,0,246.0,,,
TGO,Togo,Q118366736,http://www.wikidata.org/entity/Q3408886,0,15313.0,,,
TGO,Togo,Q118434309,,0,15146.0,,,
TGO,Togo,Q118434763,,0,7918.0,,,
TGO,Togo,Q118434922,,0,6379.0,,,
TGO,Togo,Q127690486,http://www.wikidata.org/entity/Q316291,0,273.0,,6.501516667,1.17485
TGO,Togo,Q127690487,http://www.wikidata.org/entity/Q316291,0,130.0,,6.529633333,1.187766667
TGO,Togo,Q127690485,http://www.wikidata.org/entity/Q316291,0,150.0,,6.5855,1.184083333
TGO,Togo,Q127690490,http://www.wikidata.org/entity/Q316291,0,7.0,,6.53055,1.179133333
TGO,Togo,Q127690491,http://www.wikidata.org/entity/Q316291,0,164.0,,6.529566667,1.201833333
TGO,Togo,Q127690488,http://www.wikidata.org/entity/Q316291,0,8.0,,6.531966667,1.171533333
TGO,Togo,Q127690489,http://www.wikidata.org/entity/Q316291,0,11.0,,6.532116667,1.1768
TGO,Togo,Q127690494,http://www.wikidata.org/entity/Q316291,0,312.0,,6.53585,1.18735
TGO,Togo,Q127690495,http://www.wikidata.org/entity/Q316291,0,6879.0,,6.324616667,1.12075
TGO,Togo,Q127690492,http://www.wikidata.org/entity/Q316291,0,73.0,,6.4,1.2782
TGO,Togo,Q127690493,http://www.wikidata.org/entity/Q316291,0,66.0,,6.41435,1.279183333
TGO,Togo,Q127690498,http://www.wikidata.org/entity/Q316291,0,436.0,,6.285083333,1.103666667
TGO,Togo,Q127690499,http://www.wikidata.org/entity/Q316291,0,124.0,,6.286916667,1.090233333
TGO,Togo,Q127690496,http://www.wikidata.org/entity/Q316291,0,232.0,,6.327966667,1.12205
TGO,Togo,Q127690497,http://www.wikidata.org/entity/Q316291,0,76.0,,6.30435,1.1004
TGO,Togo,Q127690500,http://www.wikidata.org/entity/Q316291,0,266.0,,6.28035,1.0829
TGO,Togo,Q127690501,http://www.wikidata.org/entity/Q316291,0,110.0,,6.290266667,1.08175
TGO,Togo,Q3569579,http://www.wikidata.org/entity/Q316291,0,9000.0,,,
TGO,Togo,Q109018848,http://www.wikidata.org/entity/Q3792,0,120000.0,,6.1570526,1.2143416
TGO,Togo,Q117324980,,0,1566.0,,,
TGO,Togo,Q117325046,,0,93.0,,,
TGO,Togo,Q117325044,http://www.wikidata.org/entity/Q316220,0,801.0,,,
