iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
TJK,Tadjiquistão,Q4171396,Q863,0,1600000,2019.0,38.57306,68.78639
TJK,Tadjiquistão,Q9365,Q863,1,1201800,2022.0,38.573055555556,68.786388888889
TJK,Tadjiquistão,Q109986324,Q9365,0,326100,,38.55,68.8
TJK,Tadjiquistão,Q373808,Q241582,0,198700,2022.0,40.279444444444,69.631944444444
TJK,Tadjiquistão,Q648567,Q633511,0,126700,2022.0,37.836388888889,68.780277777778
TJK,Tadjiquistão,Q132043,Q633511,0,106300,2020.0,37.911944444444,69.780833333333
TJK,Tadjiquistão,Q936510,Q241582,0,64300,2022.0,39.910833333333,69.006388888889
TJK,Tadjiquistão,Q695330,Q241582,0,54900,2022.0,40.116666666667,70.633333333333
TJK,Tadjiquistão,Q1015752,Q241582,0,54400,2022.0,40.283333333333,70.416666666667
TJK,Tadjiquistão,Q615274,Q241582,0,50200,2022.0,40.264722222222,69.789444444444
TJK,Tadjiquistão,Q648709,Q2669425,0,46700,2010.0,38.510833333333,68.230277777778
TJK,Tadjiquistão,Q1018025,Q633490,0,45731,1989.0,38.553055555556,69.019722222222
TJK,Tadjiquistão,Q6390992,Q2669438,0,44833,2017.0,38.533333333333,68.866666666667
TJK,Tadjiquistão,Q630805,Q241582,0,43800,2022.0,39.503055555556,67.615
TJK,Tadjiquistão,Q3375469,Q2980110,0,39600,2022.0,38.311666666667,69.038055555556
TJK,Tadjiquistão,Q6392311,Q633490,0,38644,2017.0,38.433333333333,68.733333333333
TJK,Tadjiquistão,Q2997217,Q241582,0,38400,2022.0,40.238611111111,69.696666666667
TJK,Tadjiquistão,Q6410528,Q633490,0,37821,2017.0,38.508333333333,68.833333333333
TJK,Tadjiquistão,Q13202577,Q2474029,0,37065,2015.0,,
TJK,Tadjiquistão,Q12075386,Q10859531,0,35447,2017.0,40.23333333,69.73333333
