iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
TLS,Timor-Leste,Q9310,Q860901,1,222323,2015.0,-8.5536111111111,125.57833333333
TLS,Timor-Leste,Q1020338,Q860913,0,15800,2010.0,-8.99166667,125.21972222
TLS,Timor-Leste,Q811130,Q811132,0,14961,2015.0,-8.4666666666667,126.45
TLS,Timor-Leste,Q1355919,Q668171,0,13142,,-8.75222222,125.39694444
TLS,Timor-Leste,Q1011873,Q860630,0,9022,2010.0,-8.5166666666667,126.01666666667
TLS,Timor-Leste,Q263005,Q860639,0,8793,2015.0,-9.2,124.38333333333
TLS,Timor-Leste,Q582712,Q165575,0,8243,2010.0,-9.3,125.25
TLS,Timor-Leste,Q1018872,Q1355919,0,8133,2010.0,-8.7238888888889,125.43611111111
TLS,Timor-Leste,Q55574072,Q860913,0,6110,2006.0,-9.03194,125.325
TLS,Timor-Leste,Q1011863,Q610726,0,6078,2010.0,-8.85,126.36666666667
TLS,Timor-Leste,Q946959,Q860897,0,5152,2010.0,-8.5935277777778,125.32730555556
TLS,Timor-Leste,Q811044,Q860913,0,3164,2022.0,-8.959167,124.950833
TLS,Timor-Leste,Q108908310,Q405926,0,3085,2006.0,-8.9833333333333,125.5
TLS,Timor-Leste,Q405087,Q12874251,0,2927,2010.0,-8.7166666666667,125.56666666667
TLS,Timor-Leste,Q22045079,Q9310,0,2562,2015.0,-8.55638889,125.64805556
TLS,Timor-Leste,Q116348292,Q1911127,0,2111,2015.0,-8.5955,125.346737
TLS,Timor-Leste,Q932640,Q629934,0,2100,2000.0,-9.0,125.65
TLS,Timor-Leste,Q116746032,Q753794,0,1826,2015.0,-8.266299,125.603755
TLS,Timor-Leste,Q116460253,Q1911127,0,1264,2015.0,-8.606673,125.35876
TLS,Timor-Leste,Q100143273,Q860913,0,1249,,-9.015556,125.190833
