iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
TTO,Trinidad e Tobago,Q1444575,Q754,0,83489,2011.0,10.514444444444,-61.4075
TTO,Trinidad e Tobago,Q1023712,Q754,0,55419,2000.0,10.283333333333,-61.466666666667
TTO,Trinidad e Tobago,Q39178,Q754,1,49031,2025.0,10.666666666667,-61.516666666667
TTO,Trinidad e Tobago,Q2602007,Q2679127,0,48858,,10.416666666667,-61.45
TTO,Trinidad e Tobago,Q4795612,Q1899163,0,27820,,10.633333333333,-61.333333333333
TTO,Trinidad e Tobago,Q3865976,Q979608,0,22742,,10.65,-61.46666667
TTO,Trinidad e Tobago,Q6502566,Q979608,0,21454,,10.65,-61.48333333
TTO,Trinidad e Tobago,Q4858482,Q979608,0,18299,,10.65,-61.46666667
TTO,Trinidad e Tobago,Q2522343,Q1899163,0,17650,,10.6333,-61.3833
TTO,Trinidad e Tobago,Q966660,Q7401167,0,17000,2000.0,11.183333333333,-60.733333333333
TTO,Trinidad e Tobago,Q7401542,Q1899163,0,14376,,10.65,-61.41666667
TTO,Trinidad e Tobago,Q1976992,Q979608,0,13797,2000.0,10.65,-61.45
TTO,Trinidad e Tobago,Q5511310,Q2679119,0,13099,2011.0,10.183333333333,-61.55
TTO,Trinidad e Tobago,Q5194706,Q1899163,0,11375,,10.633333333333,-61.4
TTO,Trinidad e Tobago,Q3493381,Q2679119,0,10254,,10.133333333333,-61.5
TTO,Trinidad e Tobago,Q18385079,Q2679107,0,10188,,10.683333333333,-61.6
TTO,Trinidad e Tobago,Q21050792,Q39178,0,9035,,10.6685,-61.5071
TTO,Trinidad e Tobago,Q48767330,Q2056273,0,7084,2011.0,10.2,-61.45
TTO,Trinidad e Tobago,Q26772477,Q39178,0,6472,,10.677222222222,-61.547222222222
TTO,Trinidad e Tobago,Q7401398,Q39178,0,5985,,10.6736,-61.5338
