iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
UZB,Uzbequistão,Q147697,http://www.wikidata.org/entity/Q487372,0,54300,,41.566666666667,64.2
UZB,Uzbequistão,Q250276,http://www.wikidata.org/entity/Q487089,0,50200,,40.356666666667,71.284722222222
UZB,Uzbequistão,Q261076,http://www.wikidata.org/entity/Q487089,0,242500,,40.466666666667,71.716666666667
UZB,Uzbequistão,Q263808,http://www.wikidata.org/entity/Q32037871,0,37060,,39.4,67.25
UZB,Uzbequistão,Q378393,http://www.wikidata.org/entity/Q578148,0,107400,,40.633333333333,72.233333333333
UZB,Uzbequistão,Q384774,http://www.wikidata.org/entity/Q953496,0,72500,,41.1125,69.046666666667
UZB,Uzbequistão,Q422197,http://www.wikidata.org/entity/Q487532,0,84741,,39.895833333333,66.265555555556
UZB,Uzbequistão,Q472925,http://www.wikidata.org/entity/Q487561,0,150000,,41.5345,60.6249
UZB,Uzbequistão,Q486195,http://www.wikidata.org/entity/Q487561,0,105300,,41.381388888889,60.361111111111
UZB,Uzbequistão,Q486329,http://www.wikidata.org/entity/Q484578,0,299200,,40.386388888889,71.786388888889
UZB,Uzbequistão,Q542966,http://www.wikidata.org/entity/Q487585,0,131970,,41.016666666667,70.133333333333
UZB,Uzbequistão,Q569766,http://www.wikidata.org/entity/Q487577,0,142700,,39.05,66.833333333333
UZB,Uzbequistão,Q572380,http://www.wikidata.org/entity/Q488811,0,163200,,40.116666666667,67.85
UZB,Uzbequistão,Q599533,http://www.wikidata.org/entity/Q762173,0,19868,,39.259722222222,65.155833333333
UZB,Uzbequistão,Q609395,http://www.wikidata.org/entity/Q1646711,0,16732,,38.212222222222,67.198888888889
UZB,Uzbequistão,Q653461,http://www.wikidata.org/entity/Q2399836,0,12831,,40.668888888889,72.56
UZB,Uzbequistão,Q722938,http://www.wikidata.org/entity/Q687700,0,28582,,39.133611111111,66.881944444444
UZB,Uzbequistão,Q722941,http://www.wikidata.org/entity/Q2603606,0,9594,,40.134166666667,64.511111111111
UZB,Uzbequistão,Q722945,http://www.wikidata.org/entity/Q2639139,0,9884,,40.031944444444,64.849166666667
UZB,Uzbequistão,Q722982,http://www.wikidata.org/entity/Q487577,0,40655,,39.0375,65.585
UZB,Uzbequistão,Q769384,http://www.wikidata.org/entity/Q1646704,0,23593,,40.315277777778,67.954444444444
UZB,Uzbequistão,Q769537,http://www.wikidata.org/entity/Q3711285,0,31135,,40.913888888889,69.633888888889
UZB,Uzbequistão,Q769846,http://www.wikidata.org/entity/Q3711373,0,24412,,40.899166666667,69.3425
UZB,Uzbequistão,Q769879,http://www.wikidata.org/entity/Q3711623,0,21070,,41.403333333333,69.206666666667
UZB,Uzbequistão,Q769908,http://www.wikidata.org/entity/Q2399845,0,19389,,40.9,72.25
UZB,Uzbequistão,Q770553,http://www.wikidata.org/entity/Q920722,0,21481,,40.9375,68.757777777778
UZB,Uzbequistão,Q771447,http://www.wikidata.org/entity/Q3711354,0,31542,,41.294444444444,69.676388888889
UZB,Uzbequistão,Q778474,http://www.wikidata.org/entity/Q2396561,0,10819,,39.76,67.27
UZB,Uzbequistão,Q797827,http://www.wikidata.org/entity/Q487372,0,8819,,40.131111111111,63.456111111111
UZB,Uzbequistão,Q797824,http://www.wikidata.org/entity/Q2603551,0,9636,,39.929444444444,64.379444444444
UZB,Uzbequistão,Q797869,http://www.wikidata.org/entity/Q2396604,0,10155,,39.966388888889,66.486111111111
UZB,Uzbequistão,Q798021,http://www.wikidata.org/entity/Q1646654,0,22270,,38.824166666667,66.460833333333
UZB,Uzbequistão,Q798042,http://www.wikidata.org/entity/Q2396547,0,21030,,39.764722222222,67.271388888889
UZB,Uzbequistão,Q798259,http://www.wikidata.org/entity/Q972054,0,7160,,38.6561,65.6997
UZB,Uzbequistão,Q815053,http://www.wikidata.org/entity/Q487585,0,82082,,40.225833333333,69.229166666667
UZB,Uzbequistão,Q5753,http://www.wikidata.org/entity/Q487532,0,546303,,39.654722222222,66.975833333333
UZB,Uzbequistão,Q5764,http://www.wikidata.org/entity/Q487372,0,280187,,39.774722222222,64.428611111111
UZB,Uzbequistão,Q6364,http://www.wikidata.org/entity/Q2603558,0,24200,,42.156666666667,63.555555555556
UZB,Uzbequistão,Q866022,http://www.wikidata.org/entity/Q3710866,0,20900,,37.514444444444,67.420555555556
UZB,Uzbequistão,Q867028,http://www.wikidata.org/entity/Q609133,0,11043,,40.719444444444,72.642777777778
UZB,Uzbequistão,Q867044,http://www.wikidata.org/entity/Q2603540,0,8296,,39.5,64.8
UZB,Uzbequistão,Q891880,http://www.wikidata.org/entity/Q972054,0,6715,,38.296666666667,65.553333333333
UZB,Uzbequistão,Q891949,http://www.wikidata.org/entity/Q3711299,0,19269,,41.040277777778,69.358333333333
UZB,Uzbequistão,Q892020,http://www.wikidata.org/entity/Q539731,0,15571,,39.709444444444,66.661388888889
UZB,Uzbequistão,Q892026,http://www.wikidata.org/entity/Q1646742,0,11551,,38.82139,65.65306
UZB,Uzbequistão,Q892038,http://www.wikidata.org/entity/Q1645140,0,11903,,40.524722222222,68.035833333333
UZB,Uzbequistão,Q1027623,http://www.wikidata.org/entity/Q2642167,0,50800,,41.55,61.0
UZB,Uzbequistão,Q1073108,http://www.wikidata.org/entity/Q2609551,0,39571,,42.935833333333,59.775277777778
UZB,Uzbequistão,Q1090050,http://www.wikidata.org/entity/Q1646762,0,64966,,40.997777777778,71.240277777778
UZB,Uzbequistão,Q3544447,http://www.wikidata.org/entity/Q2603639,0,22949,,42.123611111111,60.058333333333
UZB,Uzbequistão,Q3560293,http://www.wikidata.org/entity/Q2399588,0,16623,,40.021388888889,67.5975
UZB,Uzbequistão,Q3560309,http://www.wikidata.org/entity/Q488811,0,14247,,40.12694,68.49444
UZB,Uzbequistão,Q3608545,http://www.wikidata.org/entity/Q487537,0,12173,,37.815,67.605
UZB,Uzbequistão,Q3608608,http://www.wikidata.org/entity/Q3711572,0,15984,,40.375833333333,70.815555555556
UZB,Uzbequistão,Q269,http://www.wikidata.org/entity/Q265,1,2956384,,41.311111111111,69.279722222222
UZB,Uzbequistão,Q487656,http://www.wikidata.org/entity/Q487384,0,547800,,40.781944444444,72.344166666667
