iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
UZB,Uzbequistão,Q269,Q265,1,2956384,2023,41.311111111111,69.279722222222
UZB,Uzbequistão,Q492552,Q474876,0,626120,2020,40.995277777778,71.6725
UZB,Uzbequistão,Q487656,Q487384,0,547800,2022,40.781944444444,72.344166666667
UZB,Uzbequistão,Q5753,Q487532,0,546303,2020,39.654722222222,66.975833333333
UZB,Uzbequistão,Q489898,Q484245,0,319583,2020,42.464722222222,59.602222222222
UZB,Uzbequistão,Q486329,Q487089,0,299200,2022,40.386388888889,71.786388888889
UZB,Uzbequistão,Q5764,Q487372,0,280187,2020,39.774722222222,64.428611111111
UZB,Uzbequistão,Q644008,Q487577,0,274891,2020,38.866666666667,65.8
UZB,Uzbequistão,Q489890,Q487089,0,252731,2020,40.528611111111,70.9425
UZB,Uzbequistão,Q261076,Q487089,0,242500,2022,40.466666666667,71.716666666667
UZB,Uzbequistão,Q763015,Q487570,0,220000,2019,40.083333333333,65.383333333333
UZB,Uzbequistão,Q572380,Q488811,0,163200,2014,40.116666666667,67.85
UZB,Uzbequistão,Q913406,Q487585,0,159400,1994,41.466666666667,69.583333333333
UZB,Uzbequistão,Q472925,Q487561,0,150000,2014,41.5345,60.6249
UZB,Uzbequistão,Q569766,Q487577,0,142700,2022,39.05,66.833333333333
UZB,Uzbequistão,Q986429,Q487585,0,141894,2023,40.85,69.6
UZB,Uzbequistão,Q491879,Q487537,0,140404,2005,37.224166666667,67.278333333333
UZB,Uzbequistão,Q542966,Q487585,0,131970,1989,41.016666666667,70.133333333333
UZB,Uzbequistão,Q378393,Q578148,0,107400,2017,40.633333333333,72.233333333333
UZB,Uzbequistão,Q486195,Q487561,0,105300,2017,41.381388888889,60.361111111111
