iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
VAT,Cidade do Vaticano,Q237,,0,764,2023,41.904,12.453
VAT,Cidade do Vaticano,Q237,,0,764,2023,41.904,12.453
VAT,Cidade do Vaticano,Q237,,0,764,2023,41.904,12.453
VAT,Cidade do Vaticano,Q237,,0,1000,2017,41.904,12.453
VAT,Cidade do Vaticano,Q237,,0,1000,2017,41.904,12.453
VAT,Cidade do Vaticano,Q237,,0,1000,2017,41.904,12.453
VAT,Cidade do Vaticano,Q237,,0,618,2018,41.904,12.453
VAT,Cidade do Vaticano,Q237,,0,618,2018,41.904,12.453
VAT,Cidade do Vaticano,Q237,,0,618,2018,41.904,12.453
VAT,Cidade do Vaticano,Q237,,0,882,2024,41.904,12.453
VAT,Cidade do Vaticano,Q237,,0,882,2024,41.904,12.453
VAT,Cidade do Vaticano,Q237,,0,882,2024,41.904,12.453
VAT,Cidade do Vaticano,Q237,,0,572,2011,41.904,12.453
VAT,Cidade do Vaticano,Q237,,0,572,2011,41.904,12.453
VAT,Cidade do Vaticano,Q237,,0,572,2011,41.904,12.453
VAT,Cidade do Vaticano,Q237,,0,466,2009,41.904,12.453
VAT,Cidade do Vaticano,Q237,,0,466,2009,41.904,12.453
VAT,Cidade do Vaticano,Q237,,0,466,2009,41.904,12.453
VAT,Cidade do Vaticano,Q237,,0,594,2013,41.904,12.453
VAT,Cidade do Vaticano,Q237,,0,594,2013,41.904,12.453
VAT,Cidade do Vaticano,Q237,,0,594,2013,41.904,12.453
VAT,Cidade do Vaticano,Q237,,0,711,1931,41.904,12.453
VAT,Cidade do Vaticano,Q237,,0,711,1931,41.904,12.453
VAT,Cidade do Vaticano,Q237,,0,711,1931,41.904,12.453
