iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
VCT,São Vicente e Granadinas,Q41474,Q2300294,1,16532,1980,13.15527,-61.22742
VCT,São Vicente e Granadinas,Q41474,Q2300294,1,24518,2025,13.15527,-61.22742
VCT,São Vicente e Granadinas,Q41474,Q2300294,1,24518,2025,13.15527,-61.22742
VCT,São Vicente e Granadinas,Q41474,Q2300294,1,24518,2025,13.15527,-61.22742
VCT,São Vicente e Granadinas,Q41474,Q2300294,1,24518,2025,13.15527,-61.22742
VCT,São Vicente e Granadinas,Q672197,Q2412394,0,741,2006,13.288333333333,-61.240277777778
VCT,São Vicente e Granadinas,Q672197,Q2412394,0,741,2006,13.288333333333,-61.240277777778
VCT,São Vicente e Granadinas,Q672197,Q2412394,0,741,2006,13.288333333333,-61.240277777778
VCT,São Vicente e Granadinas,Q2630835,Q2305115,0,6338,2001,13.203333333333,-61.268611111111
VCT,São Vicente e Granadinas,Q2630835,Q2305115,0,5510,1980,13.203333333333,-61.268611111111
VCT,São Vicente e Granadinas,Q2630835,Q2305115,0,5949,1991,13.203333333333,-61.268611111111
VCT,São Vicente e Granadinas,Q2630835,Q2305115,0,6339,2012,13.203333333333,-61.268611111111
VCT,São Vicente e Granadinas,Q2630835,Q2305115,0,6338,2001,13.203333333333,-61.268611111111
VCT,São Vicente e Granadinas,Q2630835,Q2305115,0,6338,2001,13.203333333333,-61.268611111111
VCT,São Vicente e Granadinas,Q2630835,Q2305115,0,6338,2001,13.203333333333,-61.268611111111
VCT,São Vicente e Granadinas,Q2630835,Q2305115,0,6338,2001,13.203333333333,-61.268611111111
VCT,São Vicente e Granadinas,Q2630835,Q2305115,0,6338,2001,13.203333333333,-61.268611111111
VCT,São Vicente e Granadinas,Q2630835,Q2305115,0,5510,1980,13.203333333333,-61.268611111111
VCT,São Vicente e Granadinas,Q2630835,Q2305115,0,5510,1980,13.203333333333,-61.268611111111
VCT,São Vicente e Granadinas,Q2630835,Q2305115,0,5510,1980,13.203333333333,-61.268611111111
VCT,São Vicente e Granadinas,Q2630835,Q2305115,0,5510,1980,13.203333333333,-61.268611111111
VCT,São Vicente e Granadinas,Q2630835,Q2305115,0,5510,1980,13.203333333333,-61.268611111111
VCT,São Vicente e Granadinas,Q2630835,Q2305115,0,5949,1991,13.203333333333,-61.268611111111
VCT,São Vicente e Granadinas,Q2630835,Q2305115,0,5949,1991,13.203333333333,-61.268611111111
VCT,São Vicente e Granadinas,Q2630835,Q2305115,0,5949,1991,13.203333333333,-61.268611111111
