iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
WLF,Wallis e Futuna,Q31002,,1,,,,
WLF,Wallis e Futuna,Q4007286,Q35555,0,594.0,2006.0,-13.23027778,-176.1925
WLF,Wallis e Futuna,Q4007286,Q35555,0,594.0,2006.0,-13.23027778,-176.1925
WLF,Wallis e Futuna,Q4007286,Q35555,0,441.0,2013.0,-13.23027778,-176.1925
WLF,Wallis e Futuna,Q4007286,Q35555,0,441.0,2013.0,-13.23027778,-176.1925
WLF,Wallis e Futuna,Q4007286,Q35555,0,634.0,1996.0,-13.23027778,-176.1925
WLF,Wallis e Futuna,Q4007286,Q35555,0,634.0,1996.0,-13.23027778,-176.1925
WLF,Wallis e Futuna,Q4007286,Q35555,0,406.0,2018.0,-13.23027778,-176.1925
WLF,Wallis e Futuna,Q4007286,Q35555,0,406.0,2018.0,-13.23027778,-176.1925
WLF,Wallis e Futuna,Q4007285,Q35555,0,196.0,2008.0,-14.270622,-178.17215
WLF,Wallis e Futuna,Q4007285,Q35555,0,196.0,2008.0,-14.270622,-178.17215
WLF,Wallis e Futuna,Q4007285,Q35555,0,160.0,2018.0,-14.270622,-178.17215
WLF,Wallis e Futuna,Q4007285,Q35555,0,160.0,2018.0,-14.270622,-178.17215
WLF,Wallis e Futuna,Q4007285,Q35555,0,159.0,2013.0,-14.270622,-178.17215
WLF,Wallis e Futuna,Q4007285,Q35555,0,159.0,2013.0,-14.270622,-178.17215
WLF,Wallis e Futuna,Q4007285,Q35555,0,196.0,2008.0,-14.2589,-178.178
WLF,Wallis e Futuna,Q4007285,Q35555,0,196.0,2008.0,-14.2589,-178.178
WLF,Wallis e Futuna,Q4007285,Q35555,0,160.0,2018.0,-14.2589,-178.178
WLF,Wallis e Futuna,Q4007285,Q35555,0,160.0,2018.0,-14.2589,-178.178
WLF,Wallis e Futuna,Q4007285,Q35555,0,159.0,2013.0,-14.2589,-178.178
WLF,Wallis e Futuna,Q4007285,Q35555,0,159.0,2013.0,-14.2589,-178.178
WLF,Wallis e Futuna,Q4734167,Q35555,0,437.0,2008.0,-13.26166667,-176.16722222
WLF,Wallis e Futuna,Q4734167,Q35555,0,437.0,2008.0,-13.26166667,-176.16722222
WLF,Wallis e Futuna,Q5450174,Q35555,0,,,-13.32722222,-176.22166667
WLF,Wallis e Futuna,Q5516913,Q35555,0,249.0,2018.0,-13.33666667,-176.18694444
WLF,Wallis e Futuna,Q5516913,Q35555,0,249.0,2018.0,-13.33666667,-176.18694444
WLF,Wallis e Futuna,Q6547341,Q7903676,0,589.0,2013.0,-13.2652801,-176.1704254
WLF,Wallis e Futuna,Q6547341,Q7903676,0,589.0,2013.0,-13.2652801,-176.1704254
WLF,Wallis e Futuna,Q6547341,Q7903676,0,605.0,2018.0,-13.2652801,-176.1704254
WLF,Wallis e Futuna,Q6547341,Q7903676,0,605.0,2018.0,-13.2652801,-176.1704254
WLF,Wallis e Futuna,Q6547341,Q7903676,0,589.0,2013.0,-13.26388889,-176.17333333
WLF,Wallis e Futuna,Q6547341,Q7903676,0,589.0,2013.0,-13.26388889,-176.17333333
WLF,Wallis e Futuna,Q6547341,Q7903676,0,605.0,2018.0,-13.26388889,-176.17333333
WLF,Wallis e Futuna,Q6547341,Q7903676,0,605.0,2018.0,-13.26388889,-176.17333333
WLF,Wallis e Futuna,Q7688993,Q35555,0,,,-14.2483,-178.162
WLF,Wallis e Futuna,Q7918875,Q35555,0,287.0,1996.0,-14.3111,-178.066
WLF,Wallis e Futuna,Q7918875,Q35555,0,287.0,1996.0,-14.3111,-178.066
WLF,Wallis e Futuna,Q7918875,Q35555,0,303.0,2003.0,-14.3111,-178.066
WLF,Wallis e Futuna,Q7918875,Q35555,0,303.0,2003.0,-14.3111,-178.066
WLF,Wallis e Futuna,Q7918875,Q35555,0,280.0,2008.0,-14.3111,-178.066
WLF,Wallis e Futuna,Q7918875,Q35555,0,280.0,2008.0,-14.3111,-178.066
WLF,Wallis e Futuna,Q7918875,Q35555,0,209.0,2018.0,-14.3111,-178.066
WLF,Wallis e Futuna,Q7918875,Q35555,0,209.0,2018.0,-14.3111,-178.066
WLF,Wallis e Futuna,Q7918875,Q35555,0,287.0,1996.0,-14.31021,-178.06538
WLF,Wallis e Futuna,Q7918875,Q35555,0,287.0,1996.0,-14.31021,-178.06538
WLF,Wallis e Futuna,Q7918875,Q35555,0,303.0,2003.0,-14.31021,-178.06538
WLF,Wallis e Futuna,Q7918875,Q35555,0,303.0,2003.0,-14.31021,-178.06538
WLF,Wallis e Futuna,Q7918875,Q35555,0,280.0,2008.0,-14.31021,-178.06538
WLF,Wallis e Futuna,Q7918875,Q35555,0,280.0,2008.0,-14.31021,-178.06538
WLF,Wallis e Futuna,Q7918875,Q35555,0,209.0,2018.0,-14.31021,-178.06538
WLF,Wallis e Futuna,Q7918875,Q35555,0,209.0,2018.0,-14.31021,-178.06538
WLF,Wallis e Futuna,Q1628069,Q664321,0,322.0,2018.0,-14.2961,-178.1585
WLF,Wallis e Futuna,Q1628069,Q664321,0,322.0,2018.0,-14.2961,-178.1585
WLF,Wallis e Futuna,Q2168460,Q1140790,0,1.0,2013.0,-14.3283,-178.059
WLF,Wallis e Futuna,Q2168460,Q1140790,0,1.0,2013.0,-14.3283,-178.059
WLF,Wallis e Futuna,Q2168460,Q1140790,0,0.0,1996.0,-14.3283,-178.059
WLF,Wallis e Futuna,Q2168460,Q1140790,0,0.0,1996.0,-14.3283,-178.059
WLF,Wallis e Futuna,Q2168460,Q1140790,0,1.0,2018.0,-14.3283,-178.059
WLF,Wallis e Futuna,Q2168460,Q1140790,0,1.0,2018.0,-14.3283,-178.059
WLF,Wallis e Futuna,Q2168460,Q1140790,0,1.0,2008.0,-14.3283,-178.059
WLF,Wallis e Futuna,Q2168460,Q1140790,0,1.0,2008.0,-14.3283,-178.059
WLF,Wallis e Futuna,Q2168460,Q1140790,0,2.0,2003.0,-14.3283,-178.059
WLF,Wallis e Futuna,Q2168460,Q1140790,0,2.0,2003.0,-14.3283,-178.059
WLF,Wallis e Futuna,Q3553293,Q35555,0,446.0,2003.0,-13.2214,-176.206
WLF,Wallis e Futuna,Q3553293,Q35555,0,446.0,2003.0,-13.2214,-176.206
