iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
YEM,Iêmen,Q2471,http://www.wikidata.org/entity/Q805,0,2957000,,15.35,44.2
YEM,Iêmen,Q131694,http://www.wikidata.org/entity/Q275729,0,1154410,,12.8,45.033333333333
YEM,Iêmen,Q270041,http://www.wikidata.org/entity/Q275755,0,617871,,14.802222222222,42.951111111111
YEM,Iêmen,Q466216,http://www.wikidata.org/entity/Q388330,0,615467,,13.578888888889,44.021944444444
YEM,Iêmen,Q99648,http://www.wikidata.org/entity/Q388274,0,350864,,13.966666666667,44.166666666667
YEM,Iêmen,Q12209710,http://www.wikidata.org/entity/Q4117338,0,251475,,,
YEM,Iêmen,Q955523,http://www.wikidata.org/entity/Q328193,0,160114,,14.55,44.401666666667
YEM,Iêmen,Q12209616,http://www.wikidata.org/entity/Q4117252,0,151403,,15.36597,44.211559
YEM,Iêmen,Q310772,http://www.wikidata.org/entity/Q241135,0,144137,,14.533333333333,49.133333333333
YEM,Iêmen,Q12226088,http://www.wikidata.org/entity/Q4117305,0,143678,,,
YEM,Iêmen,Q12225630,http://www.wikidata.org/entity/Q4118413,0,124621,,,
YEM,Iêmen,Q12209388,http://www.wikidata.org/entity/Q4118413,0,124621,,,
YEM,Iêmen,Q2320876,http://www.wikidata.org/entity/Q241135,0,120137,,15.966666666667,48.783333333333
YEM,Iêmen,Q12226495,http://www.wikidata.org/entity/Q4117538,0,109044,,13.42876,45.76735
YEM,Iêmen,Q1014010,http://www.wikidata.org/entity/Q241135,0,105552,,16.05,49.0
YEM,Iêmen,Q377588,http://www.wikidata.org/entity/Q4804444,0,105248,,12.88661,45.027938
YEM,Iêmen,Q20385734,http://www.wikidata.org/entity/Q4117279,0,102612,,,
YEM,Iêmen,Q172597,http://www.wikidata.org/entity/Q1650593,0,90792,,15.65,43.933333333333
YEM,Iêmen,Q12225619,http://www.wikidata.org/entity/Q4874935,0,89418,,14.41664,43.24249
YEM,Iêmen,Q12226688,http://www.wikidata.org/entity/Q1164303,0,88155,,13.78764,45.78764
