iso3,country,site,site_qid,type,year,lat,lon
AFG,Afeganistão,Cultural Landscape and Archaeological Remains of the Bamiyan Valley,Q50810144,sítio arqueológico,2003,34.832042,67.826803
AFG,Afeganistão,Cultural Landscape and Archaeological Remains of the Bamiyan Valley,Q50810144,paisagem cultural,2003,34.832042,67.826803
AFG,Afeganistão,Minaret and Archaeological Remains of Jam,Q65953897,conjunto de estruturas ou edifícios,2002,34.3964,64.5159
AGO,Angola,M'banza Congo,Q500189,cidade,2017,-6.2666666666667,14.25
ALB,Albânia,Venetian Acropolis Castle,Q113827411,castelo,,39.7461168,20.0199065
ALB,Albânia,Natural and Cultural Heritage of the Ohrid region,Q2215414,região geográfica,1979,41.1181,20.8133
ALB,Albânia,Florestas primárias de faias dos Cárpatos e de outras regiões da Europa,Q156011,área protegida,2007,49.0,15.0
ALB,Albânia,Historic Centres of Berat and Gjirokastër,Q3664670,área protegida,2005,40.07416667,20.14083333
ALB,Albânia,Historic Centres of Berat and Gjirokastër,Q3664670,área protegida,2005,40.707916666667,19.93825
ALB,Albânia,Butrint,Q188694,pólis,1992,39.746067,20.020534
ALB,Albânia,Florestas primárias de faias dos Cárpatos e de outras regiões da Europa,Q156011,grupo,2007,49.0,15.0
AND,Andorra,Vale Madriu-Perafita-Claror,Q332800,área protegida,2013,42.492147,1.594426
AND,Andorra,Vale Madriu-Perafita-Claror,Q332800,área protegida,2004,42.492147,1.594426
AND,Andorra,Vale Madriu-Perafita-Claror,Q332800,área protegida,2006,42.492147,1.594426
ARE,Emirados Árabes Unidos,"Cultural Sites of Al Ain (Hafit, Hili, Bidaa Bint Saud and Oases Areas)",Q3962347,área protegida,2011,24.06777778,55.80638889
ARE,Emirados Árabes Unidos,Jabal Al Fayah,Q6172505,colina,2025,25.111404,55.838957
ARE,Emirados Árabes Unidos,Jabal Al Fayah,Q6172505,sítio arqueológico,2025,25.111404,55.838957
ARG,Argentina,Cueva de las Manos,Q223385,caverna,1993,-47.15,-70.666666666667
ARG,Argentina,Cueva de las Manos,Q223385,caverna,1999,-47.15,-70.666666666667
ARG,Argentina,Cueva de las Manos,Q223385,caverna,2018,-47.15,-70.666666666667
ARG,Argentina,Península Valdés,Q213237,península,2012,-42.5,-63.933333
ARG,Argentina,Península Valdés,Q213237,península,1999,-42.5,-63.933333
ARG,Argentina,"ESMA Museum and Site of Memory – Former Clandestine Center of Detention, Torture and Extermination",Q28663704,museu,2017,-34.536627777778,-58.465475
ARG,Argentina,"ESMA Museum and Site of Memory – Former Clandestine Center of Detention, Torture and Extermination",Q28663704,museu,2023,-34.536627777778,-58.465475
ARG,Argentina,Quebrada de Humahuaca,Q28061,vale,2003,-23.199861111111,-65.348861111111
ARG,Argentina,Quebrada de Humahuaca,Q28061,vale,2003,-23.1,-65.33333
ARG,Argentina,Parque Nacional Los Glaciares,Q215992,parque nacional,1981,-50.0,-73.0
ARG,Argentina,Parque Nacional Los Alerces,Q828291,parque nacional,2017,-42.8075,-71.89888889
