iso3;country_qid;country_label;conflict_qid;conflict_label;kind_qid;kind_label;source;start_year;end_year;point_year;part_of_qid;part_of_label;place_qid;place_label;result_qid;result_label;deaths;country_label_en;conflict_label_en;kind_label_en;part_of_label_en;place_label_en;result_label_en
AFG;Q889;Afeganistão;Q267418;Emboscada de Uzbin;Q178561;batalha;participant;;2008;2008;Q182865;Guerra do Afeganistão;Q3473688;Surobi;;;8;Afghanistan;Uzbin Valley ambush;battle;War in Afghanistan (2001–2021);Surobi;
AFG;Q889;Afeganistão;Q267418;Emboscada de Uzbin;Q178561;batalha;location;;2008;2008;Q182865;Guerra do Afeganistão;Q3473688;Surobi;;;8;Afghanistan;Uzbin Valley ambush;battle;War in Afghanistan (2001–2021);Surobi;
AFG;Q889;Afeganistão;Q182865;Guerra do Afeganistão;;;from_battle;;2008;2008;Q182865;Guerra do Afeganistão;;;;;;Afghanistan;War in Afghanistan (2001–2021);;War in Afghanistan (2001–2021);;
AFG;Q889;Afeganistão;Q385546;Battle of Alasay;Q178561;batalha;participant;2009;2009;;Q182865;Guerra do Afeganistão;Q4708417;Alasay;;;1;Afghanistan;Battle of Alasay;battle;War in Afghanistan (2001–2021);Alasay;
AFG;Q889;Afeganistão;Q385546;Battle of Alasay;Q178561;batalha;location;2009;2009;;Q182865;Guerra do Afeganistão;Q4708417;Alasay;;;1;Afghanistan;Battle of Alasay;battle;War in Afghanistan (2001–2021);Alasay;
AFG;Q889;Afeganistão;Q1259237;Terceira Guerra Anglo-Afegã;Q198;guerra;participant;1919;1919;;Q40837;Guerras Anglo-Afegãs;Q16880532;North-West Frontier Province;;;;Afghanistan;Third Anglo-Afghan War;war;Anglo-Afghan Wars;North-West Frontier Province (1901–1955);
AFG;Q889;Afeganistão;Q40837;Guerras Anglo-Afegãs;;;from_battle;1919;1919;;Q40837;Guerras Anglo-Afegãs;;;;;;Afghanistan;Anglo-Afghan Wars;;Anglo-Afghan Wars;;
AFG;Q889;Afeganistão;Q2889960;Battle of Shewan;Q178561;batalha;participant;;;2008;Q182865;Guerra do Afeganistão;Q180330;Farah;;;;Afghanistan;Battle of Shewan;battle;War in Afghanistan (2001–2021);Farah Province;
AFG;Q889;Afeganistão;Q2889960;Battle of Shewan;Q178561;batalha;location;;;2008;Q182865;Guerra do Afeganistão;Q180330;Farah;;;;Afghanistan;Battle of Shewan;battle;War in Afghanistan (2001–2021);Farah Province;
AFG;Q889;Afeganistão;Q4072719;Conflitos fronteiriços entre Afeganistão e Paquistão;Q107637520;border conflict;participant;1949;;1949;Q7703943;Terrorismo no Paquistão;Q288292;Linha Durand;;;;Afghanistan;Afghanistan–Pakistan border skirmishes;border conflict;terrorism in Pakistan;Durand Line;
AFG;Q889;Afeganistão;Q4072719;Conflitos fronteiriços entre Afeganistão e Paquistão;Q107637520;border conflict;location;1949;;1949;Q7703943;Terrorismo no Paquistão;Q288292;Linha Durand;;;;Afghanistan;Afghanistan–Pakistan border skirmishes;border conflict;terrorism in Pakistan;Durand Line;
AFG;Q889;Afeganistão;Q7703943;Terrorismo no Paquistão;;;from_battle;1949;;1949;Q7703943;Terrorismo no Paquistão;;;;;;Afghanistan;terrorism in Pakistan;;terrorism in Pakistan;;
AFG;Q889;Afeganistão;Q7510253;Siege of Musa Qala;Q188055;cerco;participant;2006;2006;;Q182865;Guerra do Afeganistão;Q173821;Helmand;;;;Afghanistan;Siege of Musa Qala;siege;War in Afghanistan (2001–2021);Helmand Province;
AFG;Q889;Afeganistão;Q7510253;Siege of Musa Qala;Q188055;cerco;location;2006;2006;;Q182865;Guerra do Afeganistão;Q173821;Helmand;;;;Afghanistan;Siege of Musa Qala;siege;War in Afghanistan (2001–2021);Helmand Province;
AFG;Q889;Afeganistão;Q15709934;Battle of Joybar;Q178561;batalha;participant;;;2011;Q182865;Guerra do Afeganistão;Q173816;Capisa;;;2;Afghanistan;Battle of Joybar;battle;War in Afghanistan (2001–2021);Kapisa Province;
AFG;Q889;Afeganistão;Q15709934;Battle of Joybar;Q178561;batalha;location;;;2011;Q182865;Guerra do Afeganistão;Q173816;Capisa;;;2;Afghanistan;Battle of Joybar;battle;War in Afghanistan (2001–2021);Kapisa Province;
AFG;Q889;Afeganistão;Q19646470;Invasão do Afeganistão pelos Estados Unidos;Q467011;invasão;participant;2001;2001;2001;Q182865;Guerra do Afeganistão;Q889;Afeganistão;;;;Afghanistan;United States invasion of Afghanistan;invasion;War in Afghanistan (2001–2021);Afghanistan;
AFG;Q889;Afeganistão;Q19646470;Invasão do Afeganistão pelos Estados Unidos;Q467011;invasão;location;2001;2001;2001;Q182865;Guerra do Afeganistão;Q889;Afeganistão;;;;Afghanistan;United States invasion of Afghanistan;invasion;War in Afghanistan (2001–2021);Afghanistan;
AFG;Q889;Afeganistão;Q40837;Guerras Anglo-Afegãs;Q104212151;series of wars;participant;;;;;;;;;;;Afghanistan;Anglo-Afghan Wars;series of wars;;;
AFG;Q889;Afeganistão;Q182865;Guerra do Afeganistão;Q198;guerra;participant;2001;2021;;Q185729;Guerra ao Terror;Q889;Afeganistão;;;;Afghanistan;War in Afghanistan (2001–2021);war;War on Terror;Afghanistan;
AFG;Q889;Afeganistão;Q182865;Guerra do Afeganistão;Q198;guerra;location;2001;2021;;Q185729;Guerra ao Terror;Q889;Afeganistão;;;;Afghanistan;War in Afghanistan (2001–2021);war;War on Terror;Afghanistan;
AFG;Q889;Afeganistão;Q185729;Guerra ao Terror;;;from_battle;2001;2021;;Q185729;Guerra ao Terror;;;;;;Afghanistan;War on Terror;;War on Terror;;
AFG;Q889;Afeganistão;Q185729;Guerra ao Terror;Q198;guerra;participant;2001;2021;;;;;;;;;Afghanistan;War on Terror;war;;;
AFG;Q889;Afeganistão;Q1122110;Guerra Civil do Tadjiquistão;Q8465;guerra civil;participant;1992;1997;;;;Q863;Tajiquistão;;;;Afghanistan;Tajikistani Civil War;civil war;;Tajikistan;
AFG;Q889;Afeganistão;Q1485258;Battle of Chora;Q178561;batalha;participant;2007;2007;2007;Q182865;Guerra do Afeganistão;Q183028;Oruzgan;;;;Afghanistan;Battle of Chora;battle;War in Afghanistan (2001–2021);Uruzgan Province;
AFG;Q889;Afeganistão;Q1485258;Battle of Chora;Q178561;batalha;location;2007;2007;2007;Q182865;Guerra do Afeganistão;Q183028;Oruzgan;;;;Afghanistan;Battle of Chora;battle;War in Afghanistan (2001–2021);Uruzgan Province;
AFG;Q889;Afeganistão;Q1848486;Kunduz airstrike;Q2380335;bombardeamento aéreo;participant;;;2009;Q182865;Guerra do Afeganistão;;;;;100;Afghanistan;Kunduz airstrike;airstrike;War in Afghanistan (2001–2021);;
AFG;Q889;Afeganistão;Q2638382;Batalha de Musa Qala;Q178561;batalha;participant;2007;2007;;Q182865;Guerra do Afeganistão;Q1953989;Musa Qala;;;;Afghanistan;Battle of Musa Qala;battle;War in Afghanistan (2001–2021);Musa Qala;
