iso3;year;code;value
ALB;1990;NY.GDP.MKTP.CD;2028553750.0
DZA;1990;NY.GDP.MKTP.CD;62048507531.33572
AND;1990;NY.GDP.MKTP.CD;1028989692.0678709
AGO;1990;NY.GDP.MKTP.CD;11229515599.304768
ATG;1990;NY.GDP.MKTP.CD;478718518.5185185
ARG;1990;NY.GDP.MKTP.CD;141352654305.16275
ARM;1990;NY.GDP.MKTP.CD;2256863448.77086
ABW;1990;NY.GDP.MKTP.CD;764804469.273743
AUS;1990;NY.GDP.MKTP.CD;311426665219.9709
AUT;1990;NY.GDP.MKTP.CD;165811372382.91177
AZE;1990;NY.GDP.MKTP.CD;8884848484.848484
BHS;1990;NY.GDP.MKTP.CD;3166000000.0
BHR;1990;NY.GDP.MKTP.CD;4809511005.319149
BGD;1990;NY.GDP.MKTP.CD;31598340778.21637
BRB;1990;NY.GDP.MKTP.CD;2012131457.2664447
BLR;1990;NY.GDP.MKTP.CD;17389558232.931725
BEL;1990;NY.GDP.MKTP.CD;205331747947.8513
BLZ;1990;NY.GDP.MKTP.CD;547150000.0
BEN;1990;NY.GDP.MKTP.CD;1959965330.1476505
BMU;1990;NY.GDP.MKTP.CD;1592400000.0
BTN;1990;NY.GDP.MKTP.CD;287765007.1128632
BOL;1990;NY.GDP.MKTP.CD;4867582597.51312
BIH;1990;NY.GDP.MKTP.CD;7753478260.869566
BWA;1990;NY.GDP.MKTP.CD;3790636324.447746
BRA;1990;NY.GDP.MKTP.CD;384959818181.8167
BRN;1990;NY.GDP.MKTP.CD;6039881086.681566
BGR;1990;NY.GDP.MKTP.CD;20632090909.090908
BFA;1990;NY.GDP.MKTP.CD;3101300778.564138
BDI;1990;NY.GDP.MKTP.CD;1132101252.5181746
CPV;1990;NY.GDP.MKTP.CD;306890962.64953285
KHM;1990;NY.GDP.MKTP.CD;1402541176.5121045
CMR;1990;NY.GDP.MKTP.CD;12314482627.84536
CAN;1990;NY.GDP.MKTP.CD;596075591360.9873
CAF;1990;NY.GDP.MKTP.CD;1440711459.1696668
TCD;1990;NY.GDP.MKTP.CD;1738605557.7631288
CHL;1990;NY.GDP.MKTP.CD;33428580448.271465
CHN;1990;NY.GDP.MKTP.CD;361560229445.50665
COL;1990;NY.GDP.MKTP.CD;47844090709.990845
COM;1990;NY.GDP.MKTP.CD;429622177.72488457
