conflict,conflictLabel,participant,participantLabel
http://www.wikidata.org/entity/Q47985,Guerra rus'-bizantina de 1043,http://www.wikidata.org/entity/Q1108445,Principado de Kiev
http://www.wikidata.org/entity/Q12583,Guerra Hispano-Americana,http://www.wikidata.org/entity/Q53553879,Revolutionary Government of the Philippines
http://www.wikidata.org/entity/Q6683,Guerra Mexicano-Americana,http://www.wikidata.org/entity/Q7443295,Segunda República Federal do México
http://www.wikidata.org/entity/Q1510144,Wairau Affray,http://www.wikidata.org/entity/Q7690943,Te Rangihaeata
http://www.wikidata.org/entity/Q118691395,1820 revolution on Sicily,http://www.wikidata.org/entity/Q180393,Reino das Duas Sicílias
http://www.wikidata.org/entity/Q168556,Guerra de Esmalcalda,http://www.wikidata.org/entity/Q32500,Carlos I de Espanha
http://www.wikidata.org/entity/Q111075598,Battle of Arcul,http://www.wikidata.org/entity/Q6853853,Zhaohui
http://www.wikidata.org/entity/Q125497899,Qarmatian-Hudhayl Conflicts,http://www.wikidata.org/entity/Q807004,Banu Hudhayl
http://www.wikidata.org/entity/Q12583,Guerra Hispano-Americana,http://www.wikidata.org/entity/Q30,Estados Unidos
http://www.wikidata.org/entity/Q111088923,Battle of Gadan-Ola,http://www.wikidata.org/entity/Q369870,Povo Dzungar
http://www.wikidata.org/entity/Q111089352,Battle of Oroi-Jalatu,http://www.wikidata.org/entity/Q369870,Povo Dzungar
http://www.wikidata.org/entity/Q111089368,Battle of Khurungui,http://www.wikidata.org/entity/Q369870,Povo Dzungar
http://www.wikidata.org/entity/Q842357,Rebelião Hōgen,http://www.wikidata.org/entity/Q1354407,Fujiwara no Tadamichi
http://www.wikidata.org/entity/Q842357,Rebelião Hōgen,http://www.wikidata.org/entity/Q1381638,Minamoto no Tameyoshi
http://www.wikidata.org/entity/Q58947,Guerra do Paraguai,http://www.wikidata.org/entity/Q414,Argentina
http://www.wikidata.org/entity/Q741777,Guerra de Mutina,http://www.wikidata.org/entity/Q51673,Marco António
http://www.wikidata.org/entity/Q569485,Revolta dos Cavaleiros,http://www.wikidata.org/entity/Q143108,Franz von Sickingen
http://www.wikidata.org/entity/Q569485,Revolta dos Cavaleiros,http://www.wikidata.org/entity/Q169319,Filipe I de Hesse
http://www.wikidata.org/entity/Q166001,Guerra da Escânia,http://www.wikidata.org/entity/Q157367,Brandemburgo-Prússia
http://www.wikidata.org/entity/Q166001,Guerra da Escânia,http://www.wikidata.org/entity/Q170072,República das Sete Províncias Unidas dos Países Baixos
http://www.wikidata.org/entity/Q499468,Lin Shuangwen rebellion,http://www.wikidata.org/entity/Q19133,Qianlong
http://www.wikidata.org/entity/Q123070,Guerra Russo-Turca,http://www.wikidata.org/entity/Q34266,Império Russo
http://www.wikidata.org/entity/Q842357,Rebelião Hōgen,http://www.wikidata.org/entity/Q281833,Taira no Kiyomori
http://www.wikidata.org/entity/Q842357,Rebelião Hōgen,http://www.wikidata.org/entity/Q317984,Imperador Go-Shirakawa
http://www.wikidata.org/entity/Q233559,Segunda Guerra dos Cem Anos,http://www.wikidata.org/entity/Q161885,Reino da Grã-Bretanha
http://www.wikidata.org/entity/Q123249857,Second Battle of Giria,http://www.wikidata.org/entity/Q80338,Bengala
